tipo_celular,module_size,NOVA2_MM,NOVA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.11,17.0,353,45,12.75,1.91 (1.58-2.23),308,87.25,4.27 (4.10-4.45),20.36,6.27
GABA neurons expressing GLU receptors 22,823.0,0.2,64.0,23,2,8.7,2.03 (0.03-4.04),21,91.3,2.44 (1.65-3.24),1.78,3.58
GLU like neurons 17,1247.0,0.119,38.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.117,39.0,133,41,30.83,2.24 (1.77-2.72),92,69.17,3.81 (3.46-4.16),5.43,3.60
GABA neurons expressing GABA receptors 13,80.0,0.17,51.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.209,53.0,120,12,10.0,3.98 (2.98-4.98),108,90.0,4.69 (4.36-5.02),3.57,3.66
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.148,46.0,74,8,10.81,1.96 (1.71-2.21),66,89.19,3.08 (2.67-3.50),3.51,11.35
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.089,63.0,276,30,10.87,1.81 (1.53-2.09),246,89.13,3.82 (3.60-4.04),7.41,4.83
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.15,72.0,95,2,2.11,NA,93,97.89,4.85 (4.41-5.28),2.14,3.39
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
