tipo_celular,module_size,NEO1_MM,NEO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.221,63.0,68,20,29.41,5.39 (4.40-6.38),48,70.59,3.83 (3.23-4.43),2.70,3.57
astrocytes 5,118.0,0.262,86.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,229.0,0.119,18.0,45,2,4.44,4.80 (4.77-4.83),43,95.56,5.02 (4.36-5.67),3.91,5.42
GABA neurons expressing GLU receptors 22,567.0,0.215,61.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637.0,0.249,75.0,91,15,16.48,1.84 (1.02-2.66),76,83.52,5.31 (4.87-5.76),3.34,3.00
da like neurons 11,204.0,0.324,90.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.425,82.0,74,22,29.73,5.67 (4.63-6.71),52,70.27,5.38 (4.72-6.04),5.49,2.85
oligodendrocytes 20,676.0,0.39,66.0,110,33,30.0,5.44 (4.69-6.19),77,70.0,4.79 (4.24-5.34),4.81,2.97
GABA like neurons 14,3052.0,0.191,88.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,279.0,0.237,34.0,78,7,8.97,3.27 (2.44-4.09),71,91.03,4.44 (3.99-4.88),4.06,2.57
oligodendrocyte progenitor cells 12,218.0,0.333,68.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,236.0,0.532,61.0,82,12,14.63,4.57 (3.51-5.63),70,85.37,5.06 (4.48-5.64),3.61,3.87
connective tissue cells 21,103.0,0.232,19.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,208.0,0.414,78.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,287.0,0.291,47.0,105,35,33.33,4.80 (4.03-5.58),70,66.67,5.24 (4.70-5.79),4.48,2.96
da neurons 6,398.0,0.267,83.0,138,18,13.04,3.47 (2.79-4.14),120,86.96,5.07 (4.67-5.47),3.17,2.67
astrocytes microglia 23,166.0,0.25,34.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,255.0,0.144,26.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,261.0,0.126,17.0,42,11,26.19,3.79 (2.66-4.92),31,73.81,4.17 (3.30-5.03),2.12,2.33
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,127.0,0.162,14.0,45,13,28.89,4.03 (3.40-4.66),32,71.11,4.56 (3.06-6.06),2.03,7.50
oligodendrocytes 2,131.0,0.211,67.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25),NA,3.82
