tipo_celular,module_size,RTCA_MM,RTCA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.157,49.0,97,3,3.09,4.29 (2.56-6.01),94,96.91,3.01 (2.61-3.41),3.13,4.96
T cells 18,518.0,0.174,63.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,19,5.38,2.01 (1.32-2.69),334,94.62,4.03 (3.85-4.21),38.46,6.33
GABA neurons expressing GLU receptors 22,714.0,0.21,65.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,142.0,0.067,5.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,77.0,0.171,45.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.08,19.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,3052.0,0.133,44.0,125,1,0.8,5.16 (NA-NA),124,99.2,3.33 (3.01-3.66),2.69,8.66
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.042,15.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,735.0,0.077,36.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14),1.67,8.97
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,116.0,0.244,81.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,409.0,0.083,18.0,235,4,1.7,2.03 (1.51-2.55),231,98.3,4.02 (3.77-4.27),6.64,4.38
astrocytes microglia 23,45.0,0.33,53.0,8,0,0.0,NA,8,100.0,NA,NA,3.20
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,479.0,0.137,38.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615.0,0.081,11.0,161,16,9.94,1.54 (1.02-2.05),145,90.06,3.51 (3.24-3.78),18.00,4.05
oligodendrocytes 3,639.0,0.071,26.0,15,4,26.67,0.89 (-0.17-1.96),11,73.33,4.39 (2.96-5.82),3.12,1.89
oligodendrocytes 2,1630.0,0.137,41.0,154,1,0.65,5.16 (NA-NA),153,99.35,3.23 (2.96-3.50),1.63,3.61
