tipo_celular,module_size,PGS1_MM,PGS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.193,40.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,727.0,0.112,26.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1656.0,0.12,56.0,136,3,2.21,2.53 (0.15-4.91),133,97.79,3.22 (2.95-3.49),4.97,4.99
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,24,6.8,2.27 (1.44-3.11),329,93.2,4.04 (3.86-4.22),25.29,6.81
GABA neurons expressing GLU receptors 22,599.0,0.202,45.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08),1.72,4.17
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.125,46.0,133,9,6.77,0.99 (0.27-1.71),124,93.23,3.45 (3.14-3.76),6.16,4.02
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.102,13.0,120,4,3.33,3.35 (2.89-3.82),116,96.67,4.66 (4.33-4.98),3.34,3.66
oligodendrocytes 20,348.0,0.074,37.0,33,2,6.06,3.23 (2.15-4.31),31,93.94,2.70 (2.18-3.21),3.96,3.34
GABA like neurons 14,3052.0,0.121,35.0,125,3,2.4,5.77 (5.72-5.82),122,97.6,3.28 (2.96-3.60),1.84,8.78
astrocytes 8,603.0,0.037,8.0,89,5,5.62,1.56 (0.90-2.23),84,94.38,2.86 (2.49-3.23),4.67,6.12
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,18,6.52,3.38 (2.49-4.27),258,93.48,3.56 (3.33-3.78),7.16,4.97
oligodendrocytes 10,2107.0,0.098,28.0,358,15,4.19,1.45 (0.64-2.25),343,95.81,4.00 (3.82-4.19),33.04,8.44
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.043,11.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,71.0,0.141,19.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.325,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.138,37.0,104,10,9.62,1.48 (0.69-2.27),94,90.38,3.01 (2.72-3.29),12.37,4.66
oligodendrocytes 0,2078.0,0.114,51.0,238,3,1.26,1.80 (0.23-3.37),235,98.74,3.66 (3.44-3.88),10.05,4.96
microglia 1,958.0,0.191,97.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05),3.01,5.01
oligodendrocytes 3,1003.0,0.049,5.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.178,98.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
