tipo_celular,module_size,RPL24_MM,RPL24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.279,58.0,98,31,31.63,2.67 (2.16-3.17),67,68.37,3.51 (2.85-4.17),28.89,6.31
T cells 18,506.0,0.245,67.0,225,31,13.78,2.65 (2.16-3.14),194,86.22,3.78 (3.51-4.05),27.95,4.70
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.253,86.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70),39.78,15.06
GABA neurons expressing GLU receptors 22,487.0,0.182,36.0,73,15,20.55,2.65 (2.00-3.30),58,79.45,2.78 (2.32-3.24),14.51,5.47
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,417.0,0.145,39.0,213,32,15.02,2.13 (1.56-2.70),181,84.98,4.08 (3.84-4.32),16.61,8.46
endothelial cells 9,916.0,0.41,86.0,302,15,4.97,3.16 (2.49-3.82),287,95.03,4.04 (3.80-4.27),32.25,9.52
oligodendrocytes 20,275.0,0.142,27.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.264,59.0,455,37,8.13,2.14 (1.63-2.64),418,91.87,4.57 (4.39-4.75),28.58,7.09
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.312,92.0,235,20,8.51,3.38 (2.92-3.84),215,91.49,3.86 (3.61-4.11),25.41,5.96
oligodendrocytes 10,483.0,0.254,78.0,129,13,10.08,3.64 (3.20-4.08),116,89.92,3.40 (2.97-3.84),43.51,16.46
connective tissue cells 21,125.0,0.335,66.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,158.0,0.165,26.0,30,2,6.67,1.95 (NA-NA),28,93.33,2.35 (1.67-3.02),1.51,12.77
da neurons 6,729.0,0.138,42.0,182,15,8.24,2.65 (2.00-3.30),167,91.76,3.74 (3.47-4.00),34.14,6.22
astrocytes microglia 23,121.0,0.269,22.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.152,39.0,252,41,16.27,2.21 (1.75-2.68),211,83.73,4.50 (4.26-4.74),25.39,4.87
microglia 1,406.0,0.38,76.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67),63.64,5.05
oligodendrocytes 3,303.0,0.154,57.0,154,9,5.84,3.57 (3.00-4.15),145,94.16,3.62 (3.29-3.96),67.91,8.36
oligodendrocytes 2,526.0,0.214,34.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28),54.82,6.11
