tipo_celular,module_size,ARHGEF1_MM,ARHGEF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.183,36.0,21,1,4.76,0.26 (NA-NA),20,95.24,2.41 (1.78-3.03),2.76,1.97
T cells 18,727.0,0.124,35.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656.0,0.085,10.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51),6.31,4.97
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,275.0,0.373,91.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2090.0,0.128,31.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,603.0,0.103,66.0,89,2,2.25,1.39 (1.08-1.71),87,97.75,2.80 (2.45-3.16),7.16,6.02
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.085,21.0,358,16,4.47,2.00 (1.14-2.86),342,95.53,3.97 (3.78-4.16),15.56,9.19
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.03,2.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,85.0,0.345,96.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.298,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.133,28.0,104,6,5.77,1.45 (0.59-2.31),98,94.23,2.96 (2.67-3.24),5.62,5.38
oligodendrocytes 0,479.0,0.087,2.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615.0,0.072,5.0,161,12,7.45,2.32 (1.28-3.35),149,92.55,3.37 (3.10-3.64),7.36,5.28
oligodendrocytes 3,357.0,0.065,24.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,1630.0,0.11,6.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
