tipo_celular,module_size,HAT1_MM,HAT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.307,85.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,518.0,0.082,5.0,131,4,3.05,3.80 (2.60-4.99),127,96.95,3.05 (2.77-3.33),2.26,4.83
astrocytes 5,1656.0,0.091,15.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49),5.11,4.99
oligodendrocyte progenitor cells 7,666.0,0.144,32.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1316.0,0.086,16.0,101,3,2.97,2.79 (2.52-3.06),98,97.03,3.06 (2.70-3.43),2.88,3.06
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.072,5.0,141,1,0.71,2.31 (NA-NA),140,99.29,2.97 (2.73-3.21),1.62,6.86
oligodendrocytes 20,938.0,0.102,38.0,169,5,2.96,1.46 (0.51-2.41),164,97.04,3.56 (3.34-3.77),5.31,5.37
GABA like neurons 14,3052.0,0.113,28.0,125,3,2.4,3.37 (3.00-3.73),122,97.6,3.35 (3.02-3.68),4.53,8.71
astrocytes 8,577.0,0.063,29.0,83,3,3.61,2.89 (2.52-3.25),80,96.39,3.27 (2.80-3.74),3.21,4.52
oligodendrocyte progenitor cells 12,3303.0,0.036,5.0,276,24,8.7,2.31 (1.87-2.75),252,91.3,3.70 (3.47-3.93),15.60,4.11
oligodendrocytes 10,2107.0,0.097,27.0,358,38,10.61,2.11 (1.70-2.51),320,89.39,4.15 (3.96-4.34),29.56,7.09
connective tissue cells 21,86.0,0.248,32.0,7,2,28.57,3.30 (2.61-3.99),5,71.43,3.16 (2.11-4.22),1.55,1.45
astrocytes 15,1401.0,0.066,31.0,96,5,5.21,2.46 (1.54-3.38),91,94.79,3.69 (3.22-4.16),5.61,3.70
oligodendrocytes 16,112.0,0.111,6.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,41.0,0.356,70.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57),NA,8.62
astrocytes 4,514.0,0.122,11.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,2078.0,0.112,44.0,238,11,4.62,3.08 (2.34-3.81),227,95.38,3.67 (3.44-3.90),6.47,4.95
microglia 1,958.0,0.084,12.0,290,15,5.17,3.04 (2.50-3.59),275,94.83,3.87 (3.63-4.11),4.22,5.04
oligodendrocytes 3,681.0,0.062,17.0,87,21,24.14,1.88 (1.40-2.36),66,75.86,2.83 (2.53-3.14),6.46,3.54
oligodendrocytes 2,1630.0,0.151,69.0,154,3,1.95,4.09 (4.04-4.14),151,98.05,3.23 (2.96-3.50),1.69,3.63
