tipo_celular,module_size,PKIG_MM,PKIG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.105,12.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60),NA,2.32
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,9,2.55,0.75 (0.40-1.10),344,97.45,4.00 (3.82-4.18),48.33,7.01
GABA neurons expressing GLU receptors 22,823.0,0.207,69.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,380.0,0.153,37.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,853.0,0.097,25.0,133,5,3.76,0.61 (0.32-0.89),128,96.24,3.38 (3.07-3.68),8.25,4.00
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.235,72.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20),NA,6.82
oligodendrocytes 20,271.0,0.36,92.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2090.0,0.174,64.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.107,70.0,66,7,10.61,1.08 (0.24-1.92),59,89.39,3.53 (3.13-3.93),3.61,2.87
oligodendrocyte progenitor cells 12,1049.0,0.043,11.0,235,1,0.43,4.47 (NA-NA),234,99.57,3.82 (3.59-4.05),1.40,7.64
oligodendrocytes 10,2107.0,0.069,13.0,358,10,2.79,1.03 (0.40-1.66),348,97.21,3.97 (3.78-4.16),40.92,8.57
connective tissue cells 21,69.0,0.189,5.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,1768.0,0.051,14.0,105,3,2.86,1.22 (0.43-2.02),102,97.14,3.28 (2.94-3.61),5.47,3.93
oligodendrocytes 16,78.0,0.247,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.383,80.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,787.0,0.109,3.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.109,40.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.073,29.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11),NA,4.72
oligodendrocytes 2,1630.0,0.105,4.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
