tipo_celular,module_size,COL16A1_MM,COL16A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.146,39.0,128,1,0.78,2.97 (NA-NA),127,99.22,3.57 (3.23-3.92),16.23,6.69
oligodendrocyte progenitor cells 7,4285.0,0.077,2.0,353,18,5.1,1.38 (0.94-1.82),335,94.9,4.07 (3.89-4.25),34.91,6.62
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.333,93.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.177,87.0,89,2,2.25,3.26 (2.69-3.83),87,97.75,2.74 (2.38-3.11),6.82,6.03
oligodendrocyte progenitor cells 12,708.0,0.304,86.0,32,7,21.88,0.80 (0.32-1.28),25,78.12,4.06 (3.26-4.86),4.07,2.19
oligodendrocytes 10,1277.0,0.184,86.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,139.0,0.308,60.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,443.0,0.195,79.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,116.0,0.167,25.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,109.0,0.263,17.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,251.0,0.231,88.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,187.0,0.116,17.0,14,1,7.14,7.18 (NA-NA),13,92.86,5.39 (4.79-5.98),2.14,2.51
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.138,57.0,6,1,16.67,6.20 (NA-NA),5,83.33,5.94 (4.78-7.11),2.02,2.05
oligodendrocytes 2,347.0,0.163,31.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
