tipo_celular,module_size,SDF4_MM,SDF4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.203,74.0,59,1,1.69,3.31 (NA-NA),58,98.31,3.10 (2.59-3.61),1.98,5.40
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.126,21.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,703.0,0.131,20.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.05,1.0,133,4,3.01,0.46 (0.38-0.54),129,96.99,3.36 (3.05-3.66),8.24,4.04
GABA neurons expressing GABA receptors 13,265.0,0.159,50.0,78,1,1.28,3.31 (NA-NA),77,98.72,4.38 (3.96-4.80),3.03,4.28
endothelial cells 9,559.0,0.132,40.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,253.0,0.164,54.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.207,44.0,455,7,1.54,0.76 (0.25-1.27),448,98.46,4.42 (4.24-4.60),48.34,8.22
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.043,10.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64),4.50,2.25
oligodendrocytes 10,483.0,0.089,36.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,142.0,0.53,100.0,55,3,5.45,0.48 (0.39-0.58),52,94.55,3.77 (2.93-4.61),2.71,3.32
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,74.0,0.219,65.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,300.0,0.047,0.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,101.0,0.289,37.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59),NA,2.93
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.09,7.0,252,7,2.78,0.76 (0.25-1.27),245,97.22,4.22 (3.98-4.46),15.96,7.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.092,63.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.153,20.0,175,1,0.57,3.31 (NA-NA),174,99.43,4.39 (4.04-4.74),2.51,4.63
