tipo_celular,module_size,ATP5PF_MM,ATP5PF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.205,66.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628.0,0.195,67.0,164,22,13.41,3.65 (3.14-4.16),142,86.59,4.17 (3.79-4.55),3.62,8.13
GABA neurons expressing GLU receptors 22,400.0,0.231,69.0,24,12,50.0,1.30 (0.82-1.79),12,50.0,3.01 (2.42-3.59),4.71,2.46
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.313,83.0,410,59,14.39,3.54 (3.27-3.81),351,85.61,4.41 (4.19-4.63),15.24,6.22
GABA neurons expressing GABA receptors 13,67.0,0.232,87.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08),NA,23.87
endothelial cells 9,916.0,0.323,75.0,302,48,15.89,3.51 (3.23-3.78),254,84.11,4.11 (3.83-4.38),18.03,9.26
oligodendrocytes 20,275.0,0.129,22.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.576,94.0,455,60,13.19,3.18 (2.79-3.56),395,86.81,4.58 (4.38-4.78),17.98,7.45
astrocytes 8,520.0,0.138,58.0,288,37,12.85,3.51 (3.20-3.82),251,87.15,4.31 (4.08-4.53),4.58,4.70
oligodendrocyte progenitor cells 12,1049.0,0.26,89.0,235,37,15.74,3.71 (3.47-3.96),198,84.26,3.85 (3.57-4.13),6.18,7.88
oligodendrocytes 10,735.0,0.198,87.0,277,21,7.58,3.92 (3.85-3.99),256,92.42,3.89 (3.63-4.16),4.32,9.33
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.02,3.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,107.0,0.287,85.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,729.0,0.251,88.0,182,12,6.59,3.52 (2.87-4.16),170,93.41,3.65 (3.38-3.91),12.06,8.27
astrocytes microglia 23,96.0,0.284,29.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,1807.0,0.138,37.0,104,10,9.62,1.24 (0.77-1.72),94,90.38,3.05 (2.77-3.33),12.58,4.63
oligodendrocytes 0,546.0,0.172,51.0,252,56,22.22,3.08 (2.67-3.49),196,77.78,4.48 (4.20-4.77),8.02,8.26
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.128,57.0,345,4,1.16,2.75 (1.32-4.18),341,98.84,4.29 (4.08-4.50),2.98,5.72
oligodendrocytes 2,526.0,0.263,50.0,213,45,21.13,3.85 (3.60-4.11),168,78.87,4.02 (3.66-4.38),8.31,7.84
