tipo_celular,module_size,ZSCAN5A_MM,ZSCAN5A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.163,54.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.121,68.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,29,8.22,1.79 (1.54-2.04),324,91.78,4.14 (3.96-4.32),14.55,7.48
GABA neurons expressing GLU receptors 22,823.0,0.266,91.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1247.0,0.173,74.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.168,71.0,133,32,24.06,2.03 (1.76-2.31),101,75.94,3.74 (3.36-4.11),5.25,3.82
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.074,31.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58),3.60,3.52
GABA like neurons 14,2090.0,0.183,70.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,1266.0,0.125,80.0,66,2,3.03,0.62 (-0.19-1.44),64,96.97,3.32 (2.91-3.73),3.98,2.92
oligodendrocyte progenitor cells 12,3303.0,0.106,80.0,276,28,10.14,1.71 (1.49-1.92),248,89.86,3.82 (3.60-4.05),6.94,4.90
oligodendrocytes 10,2107.0,0.137,46.0,358,33,9.22,1.73 (1.49-1.96),325,90.78,4.16 (3.98-4.35),20.10,8.39
connective tissue cells 21,78.0,0.153,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.1,63.0,105,11,10.48,1.13 (0.84-1.42),94,89.52,3.48 (3.14-3.81),5.33,3.82
oligodendrocytes 16,90.0,0.287,83.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,53.0,0.248,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.146,40.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.078,3.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93),7.99,4.91
microglia 1,1615.0,0.101,37.0,161,29,18.01,1.79 (1.54-2.04),132,81.99,3.69 (3.40-3.98),5.83,5.34
oligodendrocytes 3,639.0,0.061,18.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68),NA,2.22
oligodendrocytes 2,407.0,0.108,7.0,122,30,24.59,1.86 (1.61-2.12),92,75.41,4.00 (3.53-4.47),2.75,2.69
