tipo_celular,module_size,ZNF207_MM,ZNF207_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.111,4.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,624,0.179,71.0,142,15,10.56,3.99 (3.59-4.39),127,89.44,3.10 (2.81-3.40),2.59,4.50
astrocytes 5,1141,0.109,22.0,166,19,11.45,2.31 (1.81-2.80),147,88.55,3.57 (3.30-3.83),8.14,4.08
oligodendrocyte progenitor cells 7,448,0.12,34.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,848,0.152,24.0,262,13,4.96,2.62 (1.83-3.41),249,95.04,4.27 (4.02-4.52),4.38,4.09
GLU like neurons 17,637,0.159,51.0,91,22,24.18,2.42 (1.61-3.23),69,75.82,5.37 (4.89-5.86),3.26,2.99
da like neurons 11,204,0.076,10.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,93,0.131,27.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653,0.129,51.0,297,16,5.39,3.54 (3.28-3.80),281,94.61,3.68 (3.47-3.90),5.08,5.54
oligodendrocytes 20,253,0.141,40.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,3052,0.113,28.0,125,1,0.8,3.81 (NA-NA),124,99.2,3.35 (3.02-3.67),2.35,8.66
astrocytes 8,771,0.059,18.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,218,0.36,77.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107,0.17,58.0,358,45,12.57,2.31 (1.94-2.67),313,87.43,4.18 (3.98-4.37),20.75,7.85
connective tissue cells 21,136,0.218,15.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,1768,0.111,72.0,105,15,14.29,1.87 (1.45-2.29),90,85.71,3.46 (3.09-3.82),7.06,3.46
oligodendrocytes 16,112,0.178,54.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,398,0.073,5.0,138,18,13.04,2.33 (1.69-2.97),120,86.96,5.25 (4.89-5.60),2.67,2.74
astrocytes microglia 23,111,0.175,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752,0.154,51.0,96,12,12.5,3.35 (2.72-3.97),84,87.5,3.28 (2.90-3.65),2.49,4.58
oligodendrocytes 0,1186,0.185,95.0,300,22,7.33,3.67 (3.33-4.02),278,92.67,3.80 (3.58-4.03),4.27,4.15
microglia 1,958,0.123,67.0,290,22,7.59,2.74 (2.17-3.31),268,92.41,3.93 (3.69-4.17),5.30,4.98
oligodendrocytes 3,1003,0.104,59.0,111,1,0.9,4.17 (NA-NA),110,99.1,3.29 (2.95-3.64),1.85,4.25
oligodendrocytes 2,804,0.121,14.0,84,7,8.33,2.54 (1.45-3.64),77,91.67,2.70 (2.35-3.06),2.29,3.50
