tipo_celular,module_size,DBT_MM,DBT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.142,89.0,136,1,0.74,1.23 (NA-NA),135,99.26,3.23 (2.95-3.50),6.23,4.98
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,28,7.93,1.82 (1.35-2.30),325,92.07,4.12 (3.94-4.30),27.93,6.35
GABA neurons expressing GLU receptors 22,714.0,0.178,49.0,17,4,23.53,2.39 (2.20-2.58),13,76.47,2.28 (1.51-3.05),2.40,3.92
GLU like neurons 17,380.0,0.216,80.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,200.0,0.143,32.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.108,43.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.168,74.0,125,3,2.4,3.89 (3.23-4.55),122,97.6,3.34 (3.00-3.67),4.18,8.72
astrocytes 8,520.0,0.039,6.0,288,6,2.08,1.90 (0.32-3.48),282,97.92,4.20 (4.00-4.40),7.99,4.61
oligodendrocyte progenitor cells 12,3303.0,0.037,6.0,276,18,6.52,2.07 (1.51-2.62),258,93.48,3.66 (3.44-3.89),12.11,4.62
oligodendrocytes 10,735.0,0.103,55.0,277,2,0.72,3.27 (2.98-3.56),275,99.28,3.90 (3.66-4.14),4.20,8.98
connective tissue cells 21,82.0,0.372,89.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,1401.0,0.026,2.0,96,3,3.12,2.48 (0.70-4.26),93,96.88,3.66 (3.20-4.12),8.37,3.65
oligodendrocytes 16,94.0,0.251,77.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06),NA,1.87
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.322,53.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,1807.0,0.176,95.0,104,13,12.5,1.67 (1.13-2.21),91,87.5,3.05 (2.75-3.34),14.05,4.16
oligodendrocytes 0,2078.0,0.151,99.0,238,6,2.52,2.23 (1.23-3.23),232,97.48,3.68 (3.46-3.90),6.91,4.97
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.073,24.0,111,2,1.8,3.81 (3.31-4.31),109,98.2,3.29 (2.94-3.64),2.90,4.26
oligodendrocytes 2,1630.0,0.139,44.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52),5.25,3.57
