tipo_celular,module_size,LYRM2_MM,LYRM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.1,26.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.141,60.0,353,15,4.25,1.27 (0.79-1.75),338,95.75,4.04 (3.86-4.22),31.08,7.04
GABA neurons expressing GLU receptors 22,823.0,0.059,1.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1247.0,0.082,14.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,77.0,0.19,32.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,338.0,0.098,30.0,191,1,0.52,2.23 (NA-NA),190,99.48,3.90 (3.67-4.12),4.44,9.18
oligodendrocytes 20,358.0,0.202,71.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402.0,0.17,31.0,455,18,3.96,2.58 (1.51-3.65),437,96.04,4.44 (4.26-4.62),26.23,8.12
astrocytes 8,262.0,0.104,33.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.064,32.0,276,5,1.81,2.01 (1.17-2.85),271,98.19,3.58 (3.36-3.80),6.34,5.09
oligodendrocytes 10,806.0,0.074,15.0,261,3,1.15,2.64 (1.81-3.47),258,98.85,4.39 (4.15-4.64),4.06,6.09
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.047,17.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,151.0,0.208,58.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,553.0,0.075,8.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,46.0,0.383,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.144,50.0,104,4,3.85,0.81 (0.05-1.57),100,96.15,2.95 (2.67-3.23),14.72,5.02
oligodendrocytes 0,2078.0,0.117,56.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.093,54.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.153,77.0,200,4,2.0,3.13 (2.81-3.45),196,98.0,3.63 (3.36-3.91),2.30,3.49
