tipo_celular,module_size,DNAAF4_MM,DNAAF4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.076,2.0,32,6,18.75,5.07 (4.15-5.99),26,81.25,5.01 (4.41-5.61),4.92,3.53
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,34,9.63,2.00 (1.56-2.43),319,90.37,4.16 (3.98-4.34),23.14,6.46
GABA neurons expressing GLU receptors 22,1069.0,0.178,60.0,37,1,2.7,NA,36,97.3,2.16 (1.70-2.61),1.70,3.14
GLU like neurons 17,1316.0,0.125,52.0,101,2,1.98,3.45 (2.28-4.62),99,98.02,3.04 (2.68-3.40),3.69,3.04
da like neurons 11,204.0,0.145,33.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.196,78.0,74,2,2.7,1.92 (NA-NA),72,97.3,2.96 (2.58-3.34),1.75,10.74
astrocytes 8,1266.0,0.096,64.0,66,26,39.39,2.60 (1.81-3.38),40,60.61,3.68 (3.29-4.07),3.04,2.89
oligodendrocyte progenitor cells 12,3303.0,0.031,3.0,276,29,10.51,2.42 (1.96-2.87),247,89.49,3.72 (3.49-3.95),8.55,4.71
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,77.0,0.329,69.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,1401.0,0.055,21.0,96,11,11.46,2.87 (2.14-3.60),85,88.54,3.72 (3.22-4.22),4.00,3.77
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,127.0,0.193,7.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,787.0,0.153,54.0,65,5,7.69,4.26 (3.54-4.98),60,92.31,2.82 (2.41-3.23),2.71,6.00
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
