tipo_celular,module_size,STUB1_MM,STUB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.242,66.0,225,28,12.44,2.85 (2.37-3.32),197,87.56,3.76 (3.48-4.04),5.24,8.28
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.182,60.0,164,4,2.44,5.11 (3.73-6.49),160,97.56,4.06 (3.73-4.39),5.18,7.58
GABA neurons expressing GLU receptors 22,848.0,0.211,50.0,262,41,15.65,3.56 (3.02-4.09),221,84.35,4.29 (4.02-4.57),4.81,3.97
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.315,84.0,410,60,14.63,4.32 (3.84-4.79),350,85.37,4.23 (4.03-4.44),6.82,7.63
GABA neurons expressing GABA receptors 13,417.0,0.156,46.0,213,43,20.19,2.82 (2.22-3.42),170,79.81,4.06 (3.82-4.30),6.27,10.55
endothelial cells 9,916.0,0.264,64.0,302,13,4.3,4.56 (3.20-5.91),289,95.7,3.94 (3.72-4.17),6.06,10.86
oligodendrocytes 20,938.0,0.12,47.0,169,33,19.53,3.58 (3.01-4.14),136,80.47,3.46 (3.22-3.69),3.62,5.79
GABA like neurons 14,2402.0,0.57,94.0,455,81,17.8,3.84 (3.34-4.35),374,82.2,4.48 (4.29-4.67),12.12,8.12
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.1,55.0,235,10,4.26,5.32 (4.79-5.86),225,95.74,3.76 (3.52-3.99),4.37,7.76
oligodendrocytes 10,735.0,0.258,96.0,277,14,5.05,5.83 (5.38-6.28),263,94.95,3.78 (3.54-4.03),3.03,9.26
connective tissue cells 21,101.0,0.308,66.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.169,22.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA),1.88,1.73
da neurons 6,729.0,0.22,80.0,182,7,3.85,1.87 (1.36-2.38),175,96.15,3.72 (3.47-3.98),4.11,8.70
astrocytes microglia 23,131.0,0.377,77.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.152,40.0,252,52,20.63,3.36 (2.74-3.97),200,79.37,4.33 (4.08-4.58),6.71,8.60
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.149,64.0,345,49,14.2,4.54 (4.07-5.00),296,85.8,4.22 (3.99-4.45),4.83,5.83
oligodendrocytes 2,526.0,0.3,60.0,213,11,5.16,6.18 (5.51-6.84),202,94.84,3.84 (3.56-4.11),3.48,8.18
