tipo_celular,module_size,DPY30_MM,DPY30_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.097,8.0,353,55,15.58,2.12 (1.79-2.46),298,84.42,4.32 (4.14-4.49),23.61,5.19
GABA neurons expressing GLU receptors 22,848.0,0.133,16.0,262,10,3.82,2.00 (1.16-2.84),252,96.18,4.28 (4.04-4.53),5.67,4.04
GLU like neurons 17,229.0,0.064,7.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,1220.0,0.115,22.0,410,9,2.2,1.99 (1.38-2.61),401,97.8,4.32 (4.13-4.50),10.50,7.45
GABA neurons expressing GABA receptors 13,101.0,0.111,9.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,916.0,0.103,16.0,302,4,1.32,1.94 (0.57-3.32),298,98.68,4.02 (3.79-4.24),4.26,10.74
oligodendrocytes 20,275.0,0.218,59.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29),1.67,4.46
GABA like neurons 14,2402.0,0.225,49.0,455,27,5.93,1.74 (1.30-2.18),428,94.07,4.58 (4.40-4.75),21.44,8.04
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.067,31.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,806.0,0.14,43.0,261,5,1.92,2.40 (1.80-2.99),256,98.08,4.42 (4.17-4.66),8.80,6.01
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,123.0,0.22,57.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,729.0,0.113,31.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93),4.01,8.60
astrocytes microglia 23,109.0,0.323,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.082,5.0,238,16,6.72,2.79 (2.23-3.35),222,93.28,3.71 (3.48-3.94),7.33,4.86
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.054,12.0,76,1,1.32,3.60 (NA-NA),75,98.68,3.15 (2.75-3.55),7.07,7.29
oligodendrocytes 2,1630.0,0.168,93.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
