tipo_celular,module_size,SP100_MM,SP100_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.237,53.0,140,23,16.43,3.76 (3.22-4.30),117,83.57,4.74 (4.43-5.06),4.69,3.32
T cells 18,388.0,0.158,54.0,84,10,11.9,2.65 (2.31-3.00),74,88.1,3.02 (2.65-3.39),2.10,4.62
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.234,61.0,120,38,31.67,4.24 (3.75-4.74),82,68.33,4.81 (4.41-5.22),4.46,3.28
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,92.0,0.262,36.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.209,19.0,99,11,11.11,4.05 (3.40-4.71),88,88.89,4.33 (3.96-4.70),4.41,3.09
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,315.0,0.145,37.0,144,12,8.33,3.39 (2.75-4.04),132,91.67,4.56 (4.24-4.89),3.83,4.24
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
