tipo_celular,module_size,NFKBIZ_MM,NFKBIZ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.406,100.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,518.0,0.142,40.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36),4.47,4.76
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.234,82.0,127,10,7.87,1.83 (1.40-2.26),117,92.13,4.10 (3.76-4.43),4.26,5.97
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1316.0,0.062,5.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,289.0,0.09,9.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,266.0,0.151,47.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,412.0,0.125,26.0,141,5,3.55,1.93 (0.65-3.21),136,96.45,3.00 (2.76-3.24),4.84,6.89
oligodendrocytes 20,358.0,0.298,91.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052.0,0.154,63.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.07,38.0,276,25,9.06,1.78 (1.48-2.08),251,90.94,3.76 (3.54-3.98),11.79,4.44
oligodendrocytes 10,204.0,0.049,6.0,92,2,2.17,4.63 (4.15-5.12),90,97.83,5.74 (5.25-6.23),5.56,3.68
connective tissue cells 21,78.0,0.281,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,199.0,0.196,73.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.297,39.0,120,30,25.0,2.34 (1.92-2.76),90,75.0,4.16 (3.85-4.48),3.15,2.68
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.186,83.0,127,13,10.24,2.38 (1.72-3.04),114,89.76,3.14 (2.68-3.59),4.37,6.50
microglia 1,480.0,0.165,37.0,163,17,10.43,3.58 (3.15-4.02),146,89.57,3.73 (3.43-4.02),3.18,5.40
oligodendrocytes 3,854.0,0.142,89.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.195,98.0,200,5,2.5,1.32 (NA-NA),195,97.5,3.64 (3.37-3.90),4.99,3.42
