tipo_celular,module_size,KRAS_MM,KRAS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.135,34.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07),1.95,3.60
T cells 18,518.0,0.184,68.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36),4.47,4.76
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,41,11.61,1.94 (1.61-2.28),312,88.39,4.24 (4.06-4.41),19.33,6.58
GABA neurons expressing GLU receptors 22,823.0,0.096,7.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24),1.82,3.66
GLU like neurons 17,795.0,0.038,1.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,265.0,0.145,31.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,200.0,0.215,86.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,559.0,0.091,19.0,155,2,1.29,2.86 (NA-NA),153,98.71,4.35 (3.99-4.72),2.47,4.35
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.382,77.0,455,45,9.89,2.39 (1.87-2.91),410,90.11,4.57 (4.39-4.75),15.94,8.06
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.05,15.0,276,39,14.13,2.23 (1.93-2.52),237,85.87,3.83 (3.60-4.07),6.39,4.90
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,84.0,0.149,2.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.177,77.0,124,9,7.26,2.95 (1.67-4.22),115,92.74,4.27 (3.87-4.68),2.45,3.08
astrocytes microglia 23,122.0,0.311,56.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.119,62.0,290,10,3.45,2.43 (1.55-3.30),280,96.55,3.88 (3.64-4.11),5.84,4.97
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
