tipo_celular,module_size,PEX6_MM,PEX6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.33,97.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,388.0,0.099,18.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1656.0,0.092,16.0,136,6,4.41,2.89 (-0.36-6.13),130,95.59,3.21 (2.94-3.49),3.29,5.07
oligodendrocyte progenitor cells 7,4285.0,0.108,16.0,353,47,13.31,2.44 (2.04-2.85),306,86.69,4.15 (3.96-4.34),17.90,6.55
GABA neurons expressing GLU receptors 22,459.0,0.076,9.0,165,2,1.21,2.27 (-0.63-5.17),163,98.79,5.11 (4.77-5.46),2.39,4.11
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,97.0,0.169,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.029,4.0,169,14,8.28,3.13 (2.27-3.98),155,91.72,3.52 (3.30-3.75),2.79,5.60
GABA like neurons 14,2090.0,0.141,41.0,74,2,2.7,2.87 (2.19-3.55),72,97.3,2.94 (2.56-3.33),3.66,10.69
astrocytes 8,262.0,0.095,26.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,218.0,0.043,12.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,735.0,0.031,3.0,277,3,1.08,5.17 (5.12-5.21),274,98.92,3.88 (3.64-4.12),2.16,9.02
connective tissue cells 21,136.0,0.368,83.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,268.0,0.095,55.0,10,1,10.0,2.74 (NA-NA),9,90.0,3.83 (1.90-5.76),1.92,1.55
oligodendrocytes 16,121.0,0.26,83.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,57.0,0.287,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.158,75.0,104,15,14.42,2.39 (1.59-3.19),89,85.58,2.95 (2.65-3.25),8.94,4.80
oligodendrocytes 0,2078.0,0.084,6.0,238,13,5.46,2.72 (1.96-3.49),225,94.54,3.69 (3.46-3.92),6.73,4.92
microglia 1,1615.0,0.082,12.0,161,20,12.42,1.59 (1.02-2.16),141,87.58,3.56 (3.29-3.82),10.44,4.72
oligodendrocytes 3,743.0,0.044,4.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.135,35.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
