tipo_celular,module_size,PRCP_MM,PRCP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.127,8.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.157,82.0,166,5,3.01,1.41 (0.21-2.61),161,96.99,3.47 (3.22-3.72),7.09,4.47
oligodendrocyte progenitor cells 7,4285.0,0.107,14.0,353,14,3.97,1.31 (0.75-1.87),339,96.03,4.03 (3.85-4.21),34.57,6.97
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.088,18.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,145.0,0.084,9.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,357.0,0.134,34.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,338.0,0.05,1.0,191,10,5.24,3.83 (3.59-4.07),181,94.76,3.89 (3.65-4.13),5.75,9.35
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.163,70.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.06,28.0,83,2,2.41,1.70 (0.08-3.32),81,97.59,3.30 (2.84-3.75),2.86,4.51
oligodendrocyte progenitor cells 12,1049.0,0.061,26.0,235,21,8.94,3.66 (3.25-4.07),214,91.06,3.84 (3.59-4.09),6.75,7.70
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,118.0,0.295,48.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1768.0,0.107,69.0,105,7,6.67,1.77 (0.98-2.57),98,93.33,3.32 (2.98-3.67),5.00,3.91
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.133,56.0,235,7,2.98,4.07 (3.94-4.20),228,97.02,3.97 (3.72-4.23),5.97,4.37
astrocytes microglia 23,46.0,0.262,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255.0,0.161,42.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.089,21.0,161,11,6.83,1.05 (0.44-1.66),150,93.17,3.48 (3.22-3.73),14.85,4.74
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
