tipo_celular,module_size,TMEM151A_MM,TMEM151A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,487.0,0.277,71.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.156,40.0,410,2,0.49,2.99 (1.51-4.47),408,99.51,4.26 (4.07-4.44),13.51,7.49
GABA neurons expressing GABA receptors 13,73.0,0.195,74.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.274,92.0,169,2,1.18,2.99 (1.51-4.47),167,98.82,3.49 (3.27-3.71),6.45,5.35
GABA like neurons 14,2402.0,0.321,70.0,455,8,1.76,1.13 (0.28-1.99),447,98.24,4.42 (4.24-4.60),44.08,8.20
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.127,39.0,261,3,1.15,2.42 (1.02-3.82),258,98.85,4.40 (4.15-4.64),7.51,6.05
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,82.0,0.188,61.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.125,56.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.172,51.0,252,9,3.57,1.15 (0.39-1.90),243,96.43,4.24 (4.00-4.48),14.83,7.97
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.15,93.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55),6.36,7.30
oligodendrocytes 2,526.0,0.293,58.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
