tipo_celular,module_size,ARHGDIA_MM,ARHGDIA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.155,45.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,506.0,0.165,43.0,225,19,8.44,3.13 (2.44-3.82),206,91.56,3.66 (3.39-3.92),14.07,7.33
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.166,40.0,251,1,0.4,4.29 (NA-NA),250,99.6,4.06 (3.82-4.30),3.79,6.16
GABA neurons expressing GLU receptors 22,400.0,0.169,31.0,24,6,25.0,1.01 (0.00-2.01),18,75.0,2.54 (2.05-3.03),6.51,2.61
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.216,62.0,410,13,3.17,3.78 (2.94-4.62),397,96.83,4.26 (4.07-4.45),16.72,7.21
GABA neurons expressing GABA receptors 13,265.0,0.155,48.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,916.0,0.134,26.0,302,5,1.66,2.58 (1.04-4.12),297,98.34,4.01 (3.79-4.24),9.58,10.67
oligodendrocytes 20,938.0,0.18,74.0,169,11,6.51,3.06 (1.65-4.46),158,93.49,3.50 (3.28-3.72),9.77,5.06
GABA like neurons 14,2402.0,0.324,70.0,455,13,2.86,1.61 (0.51-2.71),442,97.14,4.42 (4.24-4.60),35.48,8.05
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.091,38.0,25,3,12.0,3.51 (0.27-6.75),22,88.0,2.76 (1.72-3.80),2.01,2.61
oligodendrocytes 10,735.0,0.239,94.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,125.0,0.406,93.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.18,34.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57),1.33,3.82
da neurons 6,228.0,0.103,59.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,101.0,0.351,67.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59),NA,2.93
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.109,16.0,252,17,6.75,1.99 (1.08-2.90),235,93.25,4.24 (4.00-4.49),22.78,7.16
microglia 1,214.0,0.147,36.0,227,9,3.96,3.40 (2.29-4.50),218,96.04,4.11 (3.87-4.35),16.63,5.69
oligodendrocytes 3,457.0,0.155,67.0,345,9,2.61,3.40 (2.29-4.50),336,97.39,4.29 (4.08-4.50),23.93,5.20
oligodendrocytes 2,528.0,0.249,73.0,175,12,6.86,3.80 (3.03-4.56),163,93.14,4.42 (4.05-4.79),12.62,4.03
