tipo_celular,module_size,RBBP5_MM,RBBP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.084,6.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.114,45.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52),1.43,5.54
GABA like neurons 14,3052.0,0.097,16.0,125,2,1.6,3.11 (2.97-3.24),123,98.4,3.36 (3.03-3.69),8.02,8.62
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,483.0,0.064,19.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,116.0,0.32,98.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,121.0,0.431,98.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.129,80.0,238,13,5.46,2.88 (2.15-3.61),225,94.54,3.69 (3.46-3.92),6.99,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.055,10.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.176,98.0,154,2,1.3,3.56 (1.90-5.21),152,98.7,3.24 (2.97-3.51),1.75,3.62
