tipo_celular,module_size,PRKX_MM,PRKX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.085,7.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,518.0,0.28,96.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,932.0,0.178,99.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.198,100.0,353,29,8.22,2.09 (1.58-2.60),324,91.78,4.10 (3.92-4.29),32.33,5.89
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.205,61.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25),7.11,6.81
oligodendrocytes 20,279.0,0.425,94.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,1266.0,0.087,56.0,66,21,31.82,2.34 (1.70-2.99),45,68.18,3.74 (3.27-4.22),3.96,2.48
oligodendrocyte progenitor cells 12,3303.0,0.123,91.0,276,25,9.06,2.54 (2.05-3.03),251,90.94,3.68 (3.44-3.91),15.17,4.11
oligodendrocytes 10,2107.0,0.148,51.0,358,34,9.5,1.98 (1.50-2.46),324,90.5,4.12 (3.93-4.31),30.54,7.26
connective tissue cells 21,102.0,0.316,67.0,5,1,20.0,1.01 (NA-NA),4,80.0,1.57 (1.57-1.57),1.35,1.43
astrocytes 15,367.0,0.13,42.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,199.0,0.186,67.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.218,21.0,57,6,10.53,3.52 (2.97-4.08),51,89.47,2.54 (2.15-2.93),3.36,3.33
astrocytes 4,201.0,0.2,70.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,613.0,0.146,53.0,127,3,2.36,2.54 (0.99-4.09),124,97.64,3.07 (2.64-3.50),6.85,6.26
microglia 1,958.0,0.12,64.0,290,7,2.41,2.19 (1.20-3.18),283,97.59,3.86 (3.63-4.10),5.70,4.98
oligodendrocytes 3,854.0,0.191,99.0,76,8,10.53,3.40 (2.43-4.37),68,89.47,2.70 (2.35-3.05),2.82,4.94
oligodendrocytes 2,407.0,0.219,92.0,122,18,14.75,1.33 (0.87-1.79),104,85.25,3.79 (3.39-4.19),3.74,2.52
