tipo_celular,module_size,CACNB2_MM,CACNB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.205,49.0,98,6,6.12,2.87 (1.60-4.14),92,93.88,4.73 (4.32-5.15),2.72,2.65
oligodendrocyte progenitor cells 7,436.0,0.115,40.0,219,48,21.92,4.26 (3.98-4.55),171,78.08,5.57 (5.21-5.92),4.29,4.70
GABA neurons expressing GLU receptors 22,714.0,0.128,18.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,795.0,0.204,78.0,80,10,12.5,4.33 (3.57-5.09),70,87.5,5.97 (5.54-6.41),3.08,3.00
da like neurons 11,82.0,0.492,97.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.512,96.0,54,5,9.26,5.24 (5.14-5.33),49,90.74,4.81 (4.15-5.47),4.23,5.12
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.238,64.0,306,72,23.53,3.78 (3.40-4.17),234,76.47,5.71 (5.42-6.00),5.03,7.22
astrocytes 8,1266.0,0.254,98.0,66,5,7.58,1.34 (0.70-1.98),61,92.42,3.41 (2.98-3.83),3.31,2.92
oligodendrocyte progenitor cells 12,153.0,0.462,75.0,27,6,22.22,4.40 (3.21-5.58),21,77.78,4.98 (3.50-6.47),1.87,2.23
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,147.0,0.204,36.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,1768.0,0.153,92.0,105,9,8.57,1.85 (1.05-2.66),96,91.43,3.35 (3.00-3.70),4.94,3.89
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.387,85.0,46,4,8.7,4.73 (4.17-5.30),42,91.3,5.06 (4.45-5.68),1.72,3.35
astrocytes 4,201.0,0.279,91.0,18,2,11.11,2.53 (2.34-2.73),16,88.89,4.82 (3.91-5.74),1.69,3.27
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
