tipo_celular,module_size,SMS_MM,SMS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.106,14.0,102,6,5.88,1.70 (0.80-2.61),96,94.12,3.62 (3.25-3.99),5.99,2.85
T cells 18,393.0,0.129,33.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,423.0,0.108,19.0,80,3,3.75,4.78 (4.78-4.78),77,96.25,3.34 (2.85-3.83),1.85,5.14
oligodendrocyte progenitor cells 7,666.0,0.149,35.0,127,5,3.94,3.18 (NA-NA),122,96.06,3.84 (3.50-4.18),3.59,5.93
GABA neurons expressing GLU receptors 22,823.0,0.16,38.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1316.0,0.103,32.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,168.0,0.114,49.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77.0,0.237,95.0,8,2,25.0,2.24 (-0.28-4.75),6,75.0,3.62 (2.82-4.41),1.81,1.75
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.261,58.0,455,14,3.08,1.66 (0.71-2.61),441,96.92,4.43 (4.24-4.61),30.39,8.15
astrocytes 8,727.0,0.08,32.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,1049.0,0.058,23.0,235,7,2.98,3.80 (3.17-4.43),228,97.02,3.82 (3.59-4.06),15.12,7.38
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.185,74.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.145,46.0,182,1,0.55,1.32 (NA-NA),181,99.45,3.65 (3.40-3.90),6.91,8.53
astrocytes microglia 23,96.0,0.227,6.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,514.0,0.129,15.0,95,3,3.16,4.78 (4.78-4.78),92,96.84,3.31 (2.88-3.74),1.85,4.73
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,346.0,0.195,74.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
