tipo_celular,module_size,NDUFB7_MM,NDUFB7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.193,54.0,225,38,16.89,3.42 (3.03-3.81),187,83.11,3.67 (3.36-3.97),3.57,8.78
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.174,73.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.295,80.0,410,78,19.02,3.80 (3.54-4.07),332,80.98,4.39 (4.16-4.62),15.61,5.61
GABA neurons expressing GABA receptors 13,417.0,0.184,64.0,213,92,43.19,3.37 (3.04-3.69),121,56.81,4.21 (3.86-4.57),13.69,6.64
endothelial cells 9,916.0,0.363,80.0,302,68,22.52,3.92 (3.60-4.24),234,77.48,4.00 (3.71-4.29),18.09,8.49
oligodendrocytes 20,938.0,0.162,67.0,169,55,32.54,3.57 (3.27-3.87),114,67.46,3.43 (3.13-3.73),3.96,6.04
GABA like neurons 14,2402.0,0.552,92.0,455,83,18.24,3.46 (3.12-3.80),372,81.76,4.62 (4.41-4.83),17.58,6.88
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.224,87.0,235,52,22.13,4.00 (3.71-4.29),183,77.87,3.76 (3.47-4.06),6.53,7.92
oligodendrocytes 10,735.0,0.158,78.0,277,20,7.22,3.97 (3.88-4.06),257,92.78,3.89 (3.62-4.15),4.51,9.29
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,107.0,0.221,51.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,729.0,0.217,79.0,182,25,13.74,4.33 (3.63-5.02),157,86.26,3.51 (3.25-3.78),13.02,7.81
astrocytes microglia 23,125.0,0.29,31.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.2,65.0,252,73,28.97,3.28 (2.93-3.64),179,71.03,4.55 (4.25-4.86),7.72,8.41
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.179,66.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.337,72.0,213,60,28.17,4.10 (3.84-4.37),153,71.83,3.92 (3.53-4.31),8.93,7.55
