tipo_celular,module_size,TMEM165_MM,TMEM165_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.266,75.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.39,88.0,68,5,7.35,1.73 (1.25-2.21),63,92.65,4.65 (4.10-5.21),3.75,3.28
astrocytes 5,165,0.279,74.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229,0.344,90.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.513,97.0,16,1,6.25,2.23 (NA-NA),15,93.75,1.95 (1.23-2.68),1.59,3.77
GLU like neurons 17,637,0.555,97.0,91,10,10.99,0.90 (0.44-1.35),81,89.01,5.17 (4.74-5.61),4.21,2.92
da like neurons 11,408,0.511,92.0,25,4,16.0,1.13 (0.41-1.85),21,84.0,5.48 (4.17-6.80),2.41,2.25
GABA neurons expressing GABA receptors 13,288,0.379,91.0,93,2,2.15,1.26 (0.33-2.20),91,97.85,5.26 (4.78-5.74),3.97,3.95
endothelial cells 9,450,0.379,77.0,74,2,2.7,2.56 (0.96-4.16),72,97.3,5.59 (5.04-6.13),2.98,3.65
oligodendrocytes 20,676,0.193,42.0,110,3,2.73,1.59 (0.76-2.42),107,97.27,5.13 (4.69-5.56),4.06,3.51
GABA like neurons 14,3052,0.228,98.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,771,0.693,98.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.559,98.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,204,0.401,38.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,250,0.391,70.0,117,3,2.56,1.59 (1.30-1.88),114,97.44,5.51 (5.13-5.89),3.79,3.74
astrocytes 15,458,0.344,94.0,36,2,5.56,4.05 (2.73-5.37),34,94.44,3.74 (2.55-4.93),2.02,2.61
oligodendrocytes 16,199,0.122,11.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,398,0.395,93.0,138,5,3.62,1.94 (0.74-3.15),133,96.38,4.95 (4.59-5.32),2.71,2.74
astrocytes microglia 23,91,0.2,24.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,102,0.233,62.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,479,0.105,11.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,813,0.148,78.0,79,6,7.59,2.80 (2.25-3.35),73,92.41,3.13 (2.69-3.56),3.32,8.28
oligodendrocytes 3,639,0.145,79.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,237,0.208,45.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
