tipo_celular,module_size,EIF4E2_MM,EIF4E2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.113,17.0,97,5,5.15,3.58 (2.26-4.90),92,94.85,3.02 (2.61-3.43),3.48,4.98
T cells 18,282.0,0.255,92.0,12,3,25.0,5.12 (4.88-5.36),9,75.0,2.70 (1.43-3.96),2.47,6.34
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.1,10.0,353,45,12.75,2.09 (1.68-2.50),308,87.25,4.20 (4.02-4.38),16.51,6.83
GABA neurons expressing GLU receptors 22,703.0,0.167,39.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,59.0,0.19,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.098,14.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23),5.02,10.69
oligodendrocytes 20,250.0,0.309,83.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402.0,0.117,14.0,455,35,7.69,2.58 (1.88-3.29),420,92.31,4.52 (4.34-4.70),16.27,8.22
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.094,51.0,235,8,3.4,3.55 (2.66-4.43),227,96.6,3.84 (3.60-4.08),7.07,7.63
oligodendrocytes 10,735.0,0.04,7.0,277,2,0.72,7.18 (5.03-9.33),275,99.28,3.86 (3.62-4.10),2.02,9.00
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,74.0,0.094,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.313,48.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.102,25.0,238,6,2.52,2.47 (1.43-3.50),232,97.48,3.67 (3.45-3.90),5.24,5.02
microglia 1,1615.0,0.08,10.0,161,29,18.01,1.70 (1.30-2.10),132,81.99,3.70 (3.43-3.97),7.65,4.94
oligodendrocytes 3,681.0,0.06,16.0,87,27,31.03,2.09 (1.71-2.48),60,68.97,2.82 (2.48-3.16),3.78,4.45
oligodendrocytes 2,1630.0,0.142,51.0,154,6,3.9,4.11 (2.29-5.93),148,96.1,3.20 (2.94-3.47),2.06,3.65
