tipo_celular,module_size,EIF3K_MM,EIF3K_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.139,36.0,97,2,2.06,2.60 (2.60-2.60),95,97.94,3.07 (2.66-3.47),2.03,4.96
T cells 18,506.0,0.253,68.0,225,23,10.22,2.75 (2.19-3.32),202,89.78,3.74 (3.48-4.01),11.67,7.47
astrocytes 5,932.0,0.093,26.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.091,5.0,353,25,7.08,2.09 (1.49-2.69),328,92.92,4.07 (3.89-4.25),18.95,7.23
GABA neurons expressing GLU receptors 22,703.0,0.135,22.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,1247.0,0.154,64.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.065,4.0,133,10,7.52,1.35 (0.81-1.88),123,92.48,3.44 (3.12-3.76),4.79,4.11
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.375,82.0,302,3,0.99,1.08 (0.19-1.96),299,99.01,4.02 (3.80-4.25),3.90,10.72
oligodendrocytes 20,938.0,0.119,47.0,169,15,8.88,2.69 (1.99-3.39),154,91.12,3.58 (3.35-3.80),6.68,5.24
GABA like neurons 14,2402.0,0.184,36.0,455,29,6.37,2.54 (1.96-3.11),426,93.63,4.51 (4.32-4.70),16.25,8.33
astrocytes 8,1266.0,0.091,60.0,66,5,7.58,1.63 (0.55-2.71),61,92.42,3.38 (2.95-3.81),4.71,2.81
oligodendrocyte progenitor cells 12,1049.0,0.108,59.0,235,11,4.68,3.24 (2.62-3.87),224,95.32,3.86 (3.62-4.10),11.55,7.42
oligodendrocytes 10,735.0,0.122,64.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,85.0,0.571,100.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,367.0,0.122,36.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,75.0,0.207,67.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.237,85.0,182,11,6.04,2.98 (2.18-3.77),171,93.96,3.69 (3.43-3.95),9.32,8.47
astrocytes microglia 23,125.0,0.419,94.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.115,5.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,546.0,0.075,3.0,252,25,9.92,2.21 (1.72-2.71),227,90.08,4.38 (4.13-4.63),11.57,7.84
microglia 1,406.0,0.146,37.0,278,8,2.88,4.20 (3.37-5.02),270,97.12,4.37 (4.09-4.65),15.11,6.49
oligodendrocytes 3,357.0,0.036,3.0,127,1,0.79,4.17 (NA-NA),126,99.21,3.11 (2.78-3.44),2.68,4.25
oligodendrocytes 2,526.0,0.127,8.0,213,3,1.41,4.12 (3.73-4.50),210,98.59,3.98 (3.70-4.26),23.35,7.72
