tipo_celular,module_size,KIF5C_MM,KIF5C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.152,39.0,68,28,41.18,5.24 (4.36-6.12),40,58.82,3.68 (3.06-4.29),2.78,3.69
astrocytes 5,228.0,0.124,24.0,266,63,23.68,4.05 (3.49-4.61),203,76.32,4.13 (3.91-4.34),4.31,5.19
oligodendrocyte progenitor cells 7,448.0,0.083,9.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,459.0,0.073,9.0,165,11,6.67,3.42 (2.68-4.15),154,93.33,5.17 (4.82-5.53),4.31,4.07
GLU like neurons 17,1316.0,0.139,64.0,101,5,4.95,3.59 (2.54-4.63),96,95.05,3.03 (2.67-3.39),2.31,3.09
da like neurons 11,120.0,0.404,87.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,238.0,0.22,75.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,450.0,0.244,60.0,74,28,37.84,5.86 (5.00-6.72),46,62.16,5.21 (4.50-5.93),4.76,2.95
oligodendrocytes 20,676.0,0.303,55.0,110,36,32.73,5.24 (4.52-5.97),74,67.27,4.87 (4.30-5.43),4.64,2.98
GABA like neurons 14,1300.0,0.089,7.0,306,47,15.36,4.56 (3.79-5.33),259,84.64,5.20 (4.93-5.48),15.35,5.14
astrocytes 8,771.0,0.339,85.0,48,7,14.58,8.06 (7.63-8.49),41,85.42,3.90 (3.20-4.59),3.75,3.04
oligodendrocyte progenitor cells 12,103.0,0.428,29.0,9,3,33.33,5.41 (5.28-5.54),6,66.67,2.24 (0.06-4.41),1.99,3.26
oligodendrocytes 10,236.0,0.551,68.0,82,10,12.2,4.51 (3.12-5.89),72,87.8,5.05 (4.49-5.61),3.85,3.83
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.047,16.0,36,8,22.22,8.14 (7.87-8.41),28,77.78,2.61 (1.87-3.36),1.69,2.83
oligodendrocytes 16,153.0,0.391,62.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,553.0,0.242,92.0,124,15,12.1,4.42 (3.21-5.63),109,87.9,4.16 (3.74-4.57),3.18,3.01
astrocytes microglia 23,44.0,0.35,70.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25),NA,2.60
astrocytes 4,157.0,0.132,14.0,178,45,25.28,4.16 (3.50-4.83),133,74.72,4.14 (3.86-4.42),3.61,4.80
oligodendrocytes 0,261.0,0.298,97.0,42,19,45.24,3.92 (3.12-4.72),23,54.76,4.17 (3.09-5.25),2.11,2.41
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,116.0,0.299,73.0,7,1,14.29,4.12 (NA-NA),6,85.71,3.61 (0.60-6.62),1.34,1.50
oligodendrocytes 2,347.0,0.225,63.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
