tipo_celular,module_size,HLA-C_MM,HLA-C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.144,40.0,97,10,10.31,3.59 (3.22-3.95),87,89.69,3.02 (2.60-3.44),3.16,5.10
T cells 18,506.0,0.575,97.0,225,46,20.44,3.25 (2.74-3.76),179,79.56,3.68 (3.40-3.96),6.99,8.14
astrocytes 5,328.0,0.184,59.0,128,2,1.56,2.68 (NA-NA),126,98.44,3.58 (3.23-3.92),2.98,6.82
oligodendrocyte progenitor cells 7,628.0,0.362,95.0,164,26,15.85,3.79 (3.21-4.36),138,84.15,4.13 (3.76-4.50),4.52,8.09
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,417.0,0.166,54.0,213,18,8.45,1.43 (0.70-2.17),195,91.55,3.97 (3.74-4.20),11.15,9.55
endothelial cells 9,559.0,0.587,99.0,155,26,16.77,5.61 (4.73-6.49),129,83.23,4.22 (3.84-4.60),3.06,4.59
oligodendrocytes 20,676.0,0.111,35.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.161,84.0,89,1,1.12,NA,88,98.88,2.76 (2.41-3.11),2.77,6.08
oligodendrocyte progenitor cells 12,1049.0,0.218,86.0,235,19,8.09,3.68 (3.15-4.21),216,91.91,3.83 (3.59-4.08),7.65,7.61
oligodendrocytes 10,483.0,0.405,91.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81),8.17,19.36
connective tissue cells 21,301.0,0.559,87.0,158,12,7.59,3.16 (1.71-4.60),146,92.41,4.34 (3.97-4.72),6.49,7.11
astrocytes 15,338.0,0.346,99.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,107.0,0.305,93.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,45.0,0.324,48.0,8,0,0.0,NA,8,100.0,NA,NA,3.20
astrocytes 4,208.0,0.178,38.0,173,7,4.05,NA,166,95.95,3.80 (3.50-4.10),2.48,5.75
oligodendrocytes 0,546.0,0.115,18.0,252,36,14.29,2.71 (2.10-3.33),216,85.71,4.34 (4.08-4.59),13.58,7.31
microglia 1,406.0,0.326,71.0,278,36,12.95,5.83 (5.05-6.61),242,87.05,4.19 (3.91-4.47),4.30,7.10
oligodendrocytes 3,303.0,0.127,46.0,154,2,1.3,NA,152,98.7,3.62 (3.30-3.94),1.70,11.97
oligodendrocytes 2,526.0,0.199,29.0,213,1,0.47,6.09 (NA-NA),212,99.53,3.97 (3.69-4.24),2.85,7.96
