tipo_celular,module_size,CTSF_MM,CTSF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.159,48.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628.0,0.261,84.0,164,11,6.71,4.38 (3.36-5.40),153,93.29,4.06 (3.71-4.40),5.30,7.69
GABA neurons expressing GLU receptors 22,848.0,0.262,68.0,262,18,6.87,3.06 (2.35-3.77),244,93.13,4.25 (3.99-4.50),9.23,3.73
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.169,47.0,410,19,4.63,3.76 (3.20-4.32),391,95.37,4.27 (4.08-4.47),17.19,7.05
GABA neurons expressing GABA receptors 13,265.0,0.11,18.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,338.0,0.191,70.0,191,3,1.57,4.03 (4.03-4.03),188,98.43,3.88 (3.65-4.11),8.69,9.17
oligodendrocytes 20,271.0,0.092,14.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402.0,0.329,71.0,455,31,6.81,2.56 (1.93-3.19),424,93.19,4.50 (4.32-4.69),23.71,7.75
astrocytes 8,520.0,0.111,47.0,288,20,6.94,3.82 (3.09-4.56),268,93.06,4.20 (3.99-4.41),10.66,4.24
oligodendrocyte progenitor cells 12,1049.0,0.106,59.0,235,12,5.11,3.57 (2.89-4.24),223,94.89,3.84 (3.59-4.08),11.00,7.43
oligodendrocytes 10,806.0,0.215,66.0,261,11,4.21,3.22 (2.42-4.02),250,95.79,4.41 (4.16-4.65),8.64,5.95
connective tissue cells 21,301.0,0.273,22.0,158,11,6.96,4.28 (3.34-5.22),147,93.04,4.25 (3.85-4.64),8.07,6.99
astrocytes 15,1768.0,0.043,9.0,105,17,16.19,2.44 (1.89-2.99),88,83.81,3.38 (3.00-3.76),8.24,3.16
oligodendrocytes 16,90.0,0.198,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.222,83.0,235,10,4.26,3.19 (2.05-4.34),225,95.74,4.02 (3.77-4.28),5.80,4.35
astrocytes microglia 23,134.0,0.337,65.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA),2.03,1.45
astrocytes 4,1807.0,0.147,55.0,104,16,15.38,2.27 (1.66-2.88),88,84.62,2.98 (2.67-3.29),12.63,4.08
oligodendrocytes 0,546.0,0.155,42.0,252,30,11.9,2.40 (1.85-2.95),222,88.1,4.36 (4.11-4.61),14.86,7.31
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.134,49.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,528.0,0.273,78.0,175,13,7.43,3.95 (2.99-4.90),162,92.57,4.41 (4.04-4.78),14.65,3.81
