tipo_celular,module_size,SYP_MM,SYP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.134,27.0,266,29,10.9,2.48 (1.96-3.01),237,89.1,4.37 (4.17-4.58),6.52,4.79
oligodendrocyte progenitor cells 7,296.0,0.135,19.0,251,3,1.2,NA,248,98.8,4.07 (3.83-4.30),1.84,6.21
GABA neurons expressing GLU receptors 22,848.0,0.373,88.0,262,34,12.98,3.55 (2.92-4.17),228,87.02,4.26 (4.00-4.53),6.05,3.81
GLU like neurons 17,1247.0,0.226,90.0,51,5,9.8,3.77 (1.81-5.74),46,90.2,3.61 (3.00-4.22),3.23,3.24
da like neurons 11,853.0,0.081,11.0,133,8,6.02,1.52 (0.01-3.04),125,93.98,3.39 (3.08-3.69),5.71,4.06
GABA neurons expressing GABA receptors 13,357.0,0.246,80.0,237,3,1.27,3.23 (2.29-4.16),234,98.73,4.43 (4.19-4.66),5.04,4.17
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.168,67.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16),6.82,2.63
GABA like neurons 14,2402.0,0.104,10.0,455,25,5.49,2.45 (1.77-3.12),430,94.51,4.48 (4.30-4.67),22.23,8.06
astrocytes 8,520.0,0.177,66.0,288,25,8.68,3.21 (2.69-3.73),263,91.32,4.28 (4.07-4.49),7.56,4.41
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,12,4.35,2.02 (1.44-2.60),264,95.65,3.63 (3.41-3.86),6.46,5.05
oligodendrocytes 10,806.0,0.228,68.0,261,24,9.2,3.31 (2.76-3.86),237,90.8,4.48 (4.22-4.73),8.14,5.85
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.107,69.0,105,8,7.62,1.42 (0.93-1.91),97,92.38,3.37 (3.03-3.72),4.01,3.98
oligodendrocytes 16,313.0,0.209,46.0,291,20,6.87,2.71 (2.30-3.12),271,93.13,4.47 (4.24-4.70),5.61,3.68
da neurons 6,300.0,0.241,74.0,159,4,2.52,4.50 (2.04-6.95),155,97.48,4.36 (4.05-4.67),2.37,3.76
astrocytes microglia 23,67.0,0.374,81.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157.0,0.103,4.0,178,20,11.24,2.31 (1.63-2.99),158,88.76,4.45 (4.19-4.71),4.74,4.47
oligodendrocytes 0,116.0,0.061,2.0,169,2,1.18,2.24 (1.93-2.54),167,98.82,4.31 (4.01-4.61),1.81,6.54
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.107,45.0,345,24,6.96,2.94 (2.52-3.36),321,93.04,4.40 (4.18-4.62),6.86,5.61
oligodendrocytes 2,1630.0,0.144,55.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
