tipo_celular,module_size,MRPL3_MM,MRPL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.205,46.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,282.0,0.048,2.0,241,1,0.41,1.82 (NA-NA),240,99.59,4.07 (3.82-4.32),8.56,4.32
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.154,78.0,353,29,8.22,1.41 (1.11-1.71),324,91.78,4.19 (4.01-4.36),28.81,6.21
GABA neurons expressing GLU receptors 22,400.0,0.247,77.0,24,14,58.33,1.31 (0.88-1.75),10,41.67,3.33 (2.89-3.78),4.45,2.36
GLU like neurons 17,1316.0,0.123,50.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42),1.94,3.07
da like neurons 11,132.0,0.075,6.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.068,7.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,253.0,0.282,86.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.254,56.0,455,39,8.57,2.02 (1.67-2.38),416,91.43,4.66 (4.48-4.83),25.25,7.30
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.084,57.0,276,19,6.88,1.59 (1.29-1.89),257,93.12,3.74 (3.52-3.95),12.04,4.60
oligodendrocytes 10,2107.0,0.073,14.0,358,25,6.98,1.28 (0.97-1.59),333,93.02,4.13 (3.95-4.31),33.82,7.64
connective tissue cells 21,78.0,0.305,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,81.0,0.274,88.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,409.0,0.082,17.0,235,14,5.96,2.11 (1.76-2.47),221,94.04,4.15 (3.89-4.40),9.13,4.12
astrocytes microglia 23,94.0,0.29,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.095,13.0,238,2,0.84,1.66 (-1.19-4.52),236,99.16,3.66 (3.44-3.88),9.53,4.98
microglia 1,813.0,0.176,88.0,79,2,2.53,2.25 (1.25-3.25),77,97.47,3.13 (2.71-3.54),5.86,7.95
oligodendrocytes 3,743.0,0.063,22.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57),1.44,7.37
oligodendrocytes 2,1630.0,0.148,63.0,154,4,2.6,2.45 (1.87-3.04),150,97.4,3.27 (3.00-3.54),4.23,3.58
