tipo_celular,module_size,CWC27_MM,CWC27_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.131,10.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,610.0,0.134,36.0,98,24,24.49,1.51 (1.13-1.89),74,75.51,3.72 (3.43-4.02),7.87,2.79
astrocytes 5,1141.0,0.128,45.0,166,18,10.84,1.85 (1.40-2.31),148,89.16,3.62 (3.36-3.88),8.86,4.02
oligodendrocyte progenitor cells 7,4285.0,0.159,85.0,353,37,10.48,2.05 (1.57-2.53),316,89.52,4.17 (3.99-4.35),29.43,5.56
GABA neurons expressing GLU receptors 22,703.0,0.251,84.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,795.0,0.147,58.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,137.0,0.411,89.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.151,68.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,233.0,0.147,25.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.183,84.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.112,53.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,22,7.97,1.87 (1.54-2.20),254,92.03,3.74 (3.51-3.96),15.93,4.17
oligodendrocytes 10,2107.0,0.209,72.0,358,36,10.06,1.89 (1.52-2.25),322,89.94,4.16 (3.97-4.35),35.37,6.58
connective tissue cells 21,100.0,0.194,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.142,41.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,65.0,0.115,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.277,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.136,23.0,61,4,6.56,3.41 (2.76-4.06),57,93.44,2.93 (2.49-3.37),1.70,6.32
oligodendrocytes 0,1186.0,0.135,33.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,813.0,0.162,84.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854.0,0.14,89.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804.0,0.152,52.0,84,4,4.76,0.91 (0.25-1.56),80,95.24,2.80 (2.47-3.14),2.84,3.42
