tipo_celular,module_size,MLH1_MM,MLH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.09,8.0,97,3,3.09,3.32 (1.50-5.13),94,96.91,3.04 (2.64-3.45),4.11,4.93
T cells 18,727.0,0.105,21.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1656.0,0.121,59.0,136,5,3.68,1.40 (1.29-1.50),131,96.32,3.29 (3.01-3.56),7.69,4.89
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,35,9.92,1.59 (1.26-1.91),318,90.08,4.21 (4.04-4.38),30.47,5.60
GABA neurons expressing GLU receptors 22,459.0,0.05,2.0,165,3,1.82,2.73 (2.28-3.19),162,98.18,5.13 (4.78-5.48),7.34,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,289.0,0.105,18.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.075,10.0,297,6,2.02,3.20 (2.15-4.24),291,97.98,3.68 (3.48-3.89),5.39,5.52
oligodendrocytes 20,322.0,0.074,25.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.096,15.0,125,2,1.6,3.13 (2.95-3.30),123,98.4,3.36 (3.03-3.69),3.66,8.69
astrocytes 8,354.0,0.104,40.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.069,38.0,276,30,10.87,1.93 (1.59-2.27),246,89.13,3.79 (3.56-4.01),13.14,4.13
oligodendrocytes 10,2107.0,0.057,8.0,358,38,10.61,1.69 (1.36-2.02),320,89.39,4.20 (4.02-4.38),32.34,6.76
connective tissue cells 21,100.0,0.438,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.022,1.0,105,20,19.05,1.50 (1.17-1.82),85,80.95,3.63 (3.28-3.98),7.23,3.21
oligodendrocytes 16,90.0,0.111,2.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,78.0,0.419,91.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.138,37.0,104,24,23.08,1.61 (1.27-1.95),80,76.92,3.28 (2.98-3.58),11.92,3.44
oligodendrocytes 0,2078.0,0.151,99.0,238,7,2.94,2.21 (1.28-3.15),231,97.06,3.68 (3.46-3.90),8.46,4.92
microglia 1,958.0,0.125,69.0,290,4,1.38,2.64 (0.96-4.32),286,98.62,3.83 (3.60-4.06),3.78,5.02
oligodendrocytes 3,1003.0,0.071,22.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.165,91.0,154,1,0.65,3.22 (NA-NA),153,99.35,3.24 (2.98-3.51),2.89,3.60
