tipo_celular,module_size,GTF2A2_MM,GTF2A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.159,41.0,15,2,13.33,4.26 (NA-NA),13,86.67,5.94 (5.25-6.64),3.12,2.22
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.104,9.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.108,19.0,410,8,1.95,2.27 (1.49-3.05),402,98.05,4.30 (4.11-4.49),9.23,7.48
GABA neurons expressing GABA receptors 13,417.0,0.145,39.0,213,23,10.8,1.66 (1.17-2.15),190,89.2,4.10 (3.87-4.33),6.73,10.04
endothelial cells 9,916.0,0.202,49.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23),5.02,10.69
oligodendrocytes 20,403.0,0.171,68.0,18,9,50.0,0.95 (0.43-1.47),9,50.0,2.81 (1.88-3.73),4.66,2.92
GABA like neurons 14,2402.0,0.292,64.0,455,25,5.49,1.69 (1.26-2.12),430,94.51,4.56 (4.38-4.74),19.72,8.20
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,49,17.75,2.07 (1.85-2.29),227,82.25,3.95 (3.72-4.19),9.75,4.11
oligodendrocytes 10,735.0,0.132,70.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,142.0,0.356,76.0,55,7,12.73,1.18 (0.60-1.76),48,87.27,4.16 (3.26-5.06),2.49,3.40
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,69.0,0.232,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.137,41.0,182,5,2.75,1.99 (1.28-2.69),177,97.25,3.69 (3.44-3.95),4.36,8.64
astrocytes microglia 23,116.0,0.28,23.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.123,28.0,127,18,14.17,2.06 (1.75-2.37),109,85.83,3.30 (2.80-3.79),3.55,6.73
microglia 1,1615.0,0.075,6.0,161,53,32.92,2.04 (1.77-2.30),108,67.08,4.10 (3.81-4.40),9.67,3.35
oligodendrocytes 3,743.0,0.1,72.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526.0,0.162,19.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
