tipo_celular,module_size,CPSF2_MM,CPSF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.213,53.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,518.0,0.121,25.0,131,1,0.76,3.21 (NA-NA),130,99.24,3.07 (2.79-3.35),5.60,4.75
astrocytes 5,1656.0,0.127,69.0,136,8,5.88,2.44 (0.95-3.93),128,94.12,3.26 (2.99-3.53),7.01,4.86
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,33,9.35,1.62 (1.29-1.95),320,90.65,4.20 (4.03-4.38),33.04,5.49
GABA neurons expressing GLU receptors 22,1069.0,0.087,6.0,37,4,10.81,2.23 (1.51-2.95),33,89.19,2.15 (1.63-2.66),2.83,3.13
GLU like neurons 17,685.0,0.128,48.0,135,14,10.37,1.49 (1.09-1.89),121,89.63,3.43 (3.11-3.75),4.96,3.61
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.048,2.0,275,32,11.64,1.66 (1.33-1.99),243,88.36,4.42 (4.16-4.67),17.46,4.36
oligodendrocytes 20,253.0,0.166,56.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,3052.0,0.084,10.0,125,2,1.6,7.59 (7.59-7.59),123,98.4,3.27 (2.96-3.57),2.80,8.71
astrocytes 8,727.0,0.038,3.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,3303.0,0.062,29.0,276,26,9.42,1.84 (1.53-2.16),250,90.58,3.78 (3.56-4.01),14.35,4.15
oligodendrocytes 10,483.0,0.089,37.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,88.0,0.237,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.098,62.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,64.0,0.105,5.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,72.0,0.309,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.16,78.0,104,27,25.96,1.69 (1.36-2.01),77,74.04,3.32 (3.01-3.63),10.89,3.47
oligodendrocytes 0,2078.0,0.128,78.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90),15.59,4.84
microglia 1,1615.0,0.098,32.0,161,30,18.63,1.47 (1.16-1.79),131,81.37,3.80 (3.55-4.06),13.32,3.63
oligodendrocytes 3,854.0,0.078,35.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.156,78.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
