tipo_celular,module_size,ARMCX3_MM,ARMCX3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.353,95.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,518.0,0.16,55.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.165,49.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,487.0,0.314,80.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.242,68.0,410,2,0.49,1.18 (-0.06-2.43),408,99.51,4.27 (4.08-4.45),17.93,7.46
GABA neurons expressing GABA receptors 13,266.0,0.197,68.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,559.0,0.122,35.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,250.0,0.174,49.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402.0,0.393,79.0,455,8,1.76,0.68 (0.33-1.03),447,98.24,4.43 (4.25-4.61),45.06,8.19
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.096,52.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,806.0,0.202,64.0,261,1,0.38,1.82 (NA-NA),260,99.62,4.38 (4.14-4.62),4.38,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,113.0,0.181,32.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,553.0,0.089,21.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,126.0,0.41,85.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.099,9.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,480.0,0.093,4.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,457.0,0.112,48.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48),NA,5.69
oligodendrocytes 2,1630.0,0.177,98.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52),5.45,3.58
