tipo_celular,module_size,CALD1_MM,CALD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.102,10.0,32,2,6.25,5.16 (NA-NA),30,93.75,5.02 (4.50-5.54),1.58,3.94
oligodendrocyte progenitor cells 7,666.0,0.094,7.0,127,3,2.36,5.11 (1.40-8.82),124,97.64,3.80 (3.46-4.14),2.19,5.93
GABA neurons expressing GLU receptors 22,703.0,0.214,67.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,685.0,0.276,89.0,135,5,3.7,1.24 (0.77-1.72),130,96.3,3.26 (2.95-3.57),4.16,3.73
da like neurons 11,140.0,0.136,18.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.558,95.0,62,2,3.23,4.20 (0.72-7.68),60,96.77,4.04 (3.59-4.49),3.01,4.25
oligodendrocytes 20,298.0,0.261,85.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2090.0,0.152,49.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,283.0,0.161,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.149,64.0,32,6,18.75,1.34 (0.33-2.35),26,81.25,3.77 (2.89-4.64),4.19,2.23
oligodendrocytes 10,1277.0,0.198,90.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,152.0,0.096,0.0,21,4,19.05,6.49 (5.49-7.49),17,80.95,4.94 (3.40-6.49),2.29,2.21
astrocytes 15,1401.0,0.144,88.0,96,13,13.54,4.23 (3.12-5.35),83,86.46,3.51 (3.02-4.00),4.85,3.63
oligodendrocytes 16,199.0,0.124,11.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.352,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.077,1.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,479.0,0.131,32.0,40,4,10.0,4.03 (3.36-4.70),36,90.0,5.99 (5.47-6.51),1.87,3.65
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.252,95.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,237.0,0.16,23.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
