tipo_celular,module_size,CHD7_MM,CHD7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.202,43.0,140,23,16.43,3.93 (3.52-4.34),117,83.57,4.70 (4.37-5.03),5.04,3.25
T cells 18,349.0,0.23,65.0,68,9,13.24,2.20 (1.24-3.15),59,86.76,4.82 (4.27-5.38),3.20,3.33
astrocytes 5,1141.0,0.142,67.0,166,32,19.28,2.10 (1.67-2.52),134,80.72,3.75 (3.49-4.02),6.32,4.13
oligodendrocyte progenitor cells 7,436.0,0.104,32.0,219,13,5.94,3.94 (3.29-4.59),206,94.06,5.32 (5.02-5.63),5.86,4.53
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.108,30.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,408.0,0.323,77.0,25,8,32.0,1.42 (0.83-2.00),17,68.0,6.74 (5.82-7.67),2.16,2.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.212,51.0,74,2,2.7,3.29 (0.25-6.34),72,97.3,5.56 (5.00-6.11),4.11,3.62
oligodendrocytes 20,676.0,0.587,87.0,110,10,9.09,3.00 (1.92-4.07),100,90.91,5.29 (4.84-5.73),3.28,3.55
GABA like neurons 14,3052.0,0.107,23.0,125,2,1.6,5.16 (NA-NA),123,98.4,3.33 (3.01-3.66),2.10,8.72
astrocytes 8,771.0,0.286,79.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,411.0,0.218,61.0,103,7,6.8,4.33 (3.23-5.43),96,93.2,5.66 (5.26-6.07),3.17,3.08
oligodendrocytes 10,236.0,0.456,38.0,82,8,9.76,3.77 (3.20-4.34),74,90.24,5.17 (4.59-5.74),3.49,3.87
connective tissue cells 21,139.0,0.224,12.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1401.0,0.084,48.0,96,5,5.21,2.24 (1.26-3.22),91,94.79,3.71 (3.24-4.17),4.15,3.78
oligodendrocytes 16,153.0,0.418,74.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.295,76.0,47,6,12.77,2.50 (1.37-3.63),41,87.23,2.90 (2.57-3.24),2.37,3.19
astrocytes 4,721.0,0.13,13.0,61,4,6.56,2.88 (0.64-5.12),57,93.44,2.97 (2.55-3.39),2.82,6.24
oligodendrocytes 0,261.0,0.163,37.0,42,11,26.19,2.45 (1.26-3.63),31,73.81,4.91 (4.30-5.51),1.99,2.38
microglia 1,315.0,0.123,25.0,144,15,10.42,3.93 (3.50-4.37),129,89.58,4.53 (4.19-4.87),3.55,4.28
oligodendrocytes 3,116.0,0.251,29.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,131.0,0.169,40.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52),1.90,4.03
