tipo_celular,module_size,NRCAM_MM,NRCAM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.247,77.0,58,18,31.03,4.18 (3.37-4.99),40,68.97,4.17 (3.68-4.66),1.98,2.47
oligodendrocyte progenitor cells 7,448.0,0.104,22.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,714.0,0.148,30.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,795.0,0.186,73.0,80,12,15.0,4.84 (2.63-7.05),68,85.0,5.76 (5.36-6.17),3.73,2.89
da like neurons 11,140.0,0.331,81.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,357.0,0.203,67.0,237,5,2.11,5.24 (3.34-7.15),232,97.89,4.38 (4.15-4.62),5.12,4.16
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.078,6.0,306,70,22.88,4.65 (4.02-5.27),236,77.12,5.25 (4.97-5.52),12.08,5.11
astrocytes 8,283.0,0.31,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.401,88.0,103,21,20.39,6.02 (4.95-7.08),82,79.61,5.43 (5.03-5.83),3.82,2.90
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.056,19.0,105,5,4.76,1.23 (0.54-1.93),100,95.24,3.32 (2.98-3.66),4.55,3.95
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.213,97.0,122,21,17.21,4.94 (3.53-6.36),101,82.79,3.79 (3.43-4.15),3.46,3.49
astrocytes microglia 23,91.0,0.27,54.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,220.0,0.122,23.0,63,30,47.62,4.79 (4.01-5.56),33,52.38,5.57 (4.78-6.36),3.86,2.78
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
