tipo_celular,module_size,DNAJC1_MM,DNAJC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.175,28.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,388.0,0.076,8.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,423.0,0.155,53.0,80,2,2.5,1.04 (NA-NA),78,97.5,3.44 (2.96-3.91),3.49,5.06
oligodendrocyte progenitor cells 7,666.0,0.234,82.0,127,12,9.45,3.29 (1.90-4.67),115,90.55,3.90 (3.57-4.24),4.14,6.02
GABA neurons expressing GLU receptors 22,599.0,0.268,76.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,637.0,0.135,40.0,91,9,9.89,0.86 (0.32-1.40),82,90.11,5.11 (4.66-5.55),3.27,3.04
da like neurons 11,82.0,0.415,84.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.164,75.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,275.0,0.175,39.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.188,87.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.12,69.0,83,5,6.02,1.55 (0.88-2.21),78,93.98,3.33 (2.87-3.79),2.39,4.61
oligodendrocyte progenitor cells 12,708.0,0.114,51.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.29,88.0,358,31,8.66,1.95 (1.47-2.43),327,91.34,4.11 (3.93-4.30),22.23,8.26
connective tissue cells 21,102.0,0.233,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.145,90.0,105,15,14.29,2.13 (1.52-2.73),90,85.71,3.41 (3.05-3.78),4.79,3.84
oligodendrocytes 16,113.0,0.178,50.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.304,72.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752.0,0.15,45.0,96,6,6.25,2.76 (2.10-3.42),90,93.75,3.33 (2.98-3.69),2.46,4.44
oligodendrocytes 0,1186.0,0.161,77.0,300,2,0.67,2.30 (1.83-2.77),298,99.33,3.81 (3.60-4.01),7.91,4.13
microglia 1,958.0,0.111,49.0,290,21,7.24,3.21 (2.50-3.93),269,92.76,3.87 (3.63-4.11),5.91,4.93
oligodendrocytes 3,681.0,0.167,90.0,87,15,17.24,1.78 (1.24-2.32),72,82.76,2.77 (2.47-3.06),5.02,4.08
oligodendrocytes 2,804.0,0.136,31.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12),3.23,3.40
