tipo_celular,module_size,IFT43_MM,IFT43_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.108,15.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60),NA,2.32
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,27,7.65,2.19 (1.58-2.80),326,92.35,4.05 (3.87-4.24),19.32,7.13
GABA neurons expressing GLU receptors 22,823.0,0.283,93.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12),2.40,3.52
GLU like neurons 17,300.0,0.216,73.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08),1.89,2.51
da like neurons 11,101.0,0.086,11.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.088,19.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88),6.04,5.51
oligodendrocytes 20,295.0,0.045,8.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,3052.0,0.183,85.0,125,8,6.4,4.34 (3.93-4.76),117,93.6,3.31 (2.98-3.64),2.96,9.00
astrocytes 8,1266.0,0.048,13.0,66,16,24.24,2.10 (1.28-2.92),50,75.76,3.59 (3.15-4.03),3.33,2.83
oligodendrocyte progenitor cells 12,1049.0,0.071,35.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,1277.0,0.113,53.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,93.0,0.318,70.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1401.0,0.069,34.0,96,10,10.42,3.14 (2.38-3.90),86,89.58,3.68 (3.18-4.18),4.54,3.71
oligodendrocytes 16,107.0,0.215,45.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,103.0,0.224,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.139,27.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,2078.0,0.113,46.0,238,5,2.1,1.79 (0.71-2.87),233,97.9,3.67 (3.45-3.89),8.49,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.061,16.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.104,4.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
