tipo_celular,module_size,AGAP6_MM,AGAP6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.26,77.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.117,52.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.166,91.0,353,3,0.85,4.29 (2.56-6.01),350,99.15,3.88 (3.70-4.07),8.26,8.06
GABA neurons expressing GLU receptors 22,714.0,0.171,45.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,300.0,0.166,29.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,172.0,0.174,32.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,250.0,0.513,98.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2090.0,0.139,40.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,354.0,0.034,3.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.096,71.0,276,1,0.36,2.53 (NA-NA),275,99.64,3.55 (3.33-3.76),18.40,5.06
oligodendrocytes 10,2107.0,0.112,35.0,358,6,1.68,4.34 (3.47-5.22),352,98.32,3.85 (3.65-4.04),6.17,9.53
connective tissue cells 21,95.0,0.39,92.0,4,1,25.0,5.16 (NA-NA),3,75.0,2.91 (2.68-3.14),1.62,1.75
astrocytes 15,1768.0,0.127,82.0,105,1,0.95,2.53 (NA-NA),104,99.05,3.22 (2.88-3.56),7.28,3.95
oligodendrocytes 16,84.0,0.35,99.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,132.0,0.304,46.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,1807.0,0.182,98.0,104,1,0.96,2.53 (NA-NA),103,99.04,2.87 (2.58-3.15),9.08,5.36
oligodendrocytes 0,2078.0,0.123,67.0,238,1,0.42,2.53 (NA-NA),237,99.58,3.64 (3.42-3.86),10.86,5.00
microglia 1,813.0,0.109,42.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854.0,0.044,3.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11),NA,4.72
oligodendrocytes 2,1630.0,0.125,19.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
