tipo_celular,module_size,EXOSC6_MM,EXOSC6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.136,35.0,131,3,2.29,3.32 (2.27-4.37),128,97.71,3.07 (2.79-3.35),4.21,4.77
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.133,19.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,714.0,0.191,56.0,17,7,41.18,3.06 (2.47-3.64),10,58.82,1.78 (1.02-2.55),2.17,4.54
GLU like neurons 17,1316.0,0.04,1.0,101,4,3.96,4.76 (2.53-7.00),97,96.04,2.96 (2.62-3.30),2.65,3.07
da like neurons 11,1220.0,0.184,51.0,410,6,1.46,2.20 (1.11-3.28),404,98.54,4.29 (4.10-4.48),13.43,7.43
GABA neurons expressing GABA receptors 13,77.0,0.101,7.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,338.0,0.105,35.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,279.0,0.18,39.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2402.0,0.15,25.0,455,30,6.59,1.91 (1.41-2.41),425,93.41,4.59 (4.41-4.76),20.21,8.03
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.116,54.0,32,8,25.0,1.36 (0.44-2.29),24,75.0,4.00 (3.12-4.88),3.62,2.26
oligodendrocytes 10,806.0,0.144,44.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,107.0,0.253,73.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,307.0,0.16,76.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,61.0,0.394,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.117,55.0,238,13,5.46,3.43 (2.49-4.36),225,94.54,3.65 (3.42-3.88),7.14,4.90
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.066,18.0,345,1,0.29,3.22 (NA-NA),344,99.71,4.28 (4.07-4.49),8.12,5.69
oligodendrocytes 2,1630.0,0.159,84.0,154,4,2.6,4.99 (4.05-5.94),150,97.4,3.19 (2.92-3.46),1.81,3.64
