tipo_celular,module_size,RPS27A_MM,RPS27A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.371,73.0,98,31,31.63,2.77 (2.26-3.28),67,68.37,3.47 (2.79-4.14),28.78,6.37
T cells 18,506.0,0.525,96.0,225,41,18.22,2.96 (2.50-3.42),184,81.78,3.79 (3.50-4.07),21.45,4.88
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.367,95.0,108,11,10.19,3.63 (3.10-4.16),97,89.81,3.21 (2.72-3.70),32.09,15.42
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.185,52.0,410,58,14.15,3.36 (3.08-3.64),352,85.85,4.42 (4.21-4.63),13.46,6.54
GABA neurons expressing GABA receptors 13,417.0,0.136,32.0,213,54,25.35,2.39 (2.00-2.79),159,74.65,4.27 (4.02-4.52),13.17,8.50
endothelial cells 9,916.0,0.548,95.0,302,31,10.26,3.26 (2.81-3.72),271,89.74,4.08 (3.83-4.33),21.61,9.40
oligodendrocytes 20,938.0,0.165,68.0,169,50,29.59,3.23 (2.87-3.58),119,70.41,3.59 (3.31-3.86),9.42,3.66
GABA like neurons 14,2402.0,0.593,95.0,455,77,16.92,2.81 (2.48-3.13),378,83.08,4.74 (4.55-4.93),19.58,6.65
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.348,94.0,235,36,15.32,3.59 (3.25-3.92),199,84.68,3.87 (3.60-4.13),15.67,6.16
oligodendrocytes 10,483.0,0.517,97.0,129,13,10.08,3.72 (3.27-4.16),116,89.92,3.39 (2.96-3.83),43.18,16.50
connective tissue cells 21,301.0,0.333,40.0,158,25,15.82,3.12 (2.47-3.77),133,84.18,4.53 (4.13-4.94),22.91,4.09
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,96.0,0.225,49.0,102,44,43.14,2.41 (2.02-2.80),58,56.86,4.13 (3.74-4.52),12.58,3.94
da neurons 6,729.0,0.209,76.0,182,18,9.89,2.85 (2.22-3.48),164,90.11,3.73 (3.46-4.00),28.34,6.35
astrocytes microglia 23,137.0,0.435,74.0,188,41,21.81,2.66 (2.18-3.13),147,78.19,5.04 (4.68-5.39),19.57,3.68
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.243,78.0,252,77,30.56,2.87 (2.53-3.21),175,69.44,4.75 (4.47-5.02),15.54,4.98
microglia 1,406.0,0.529,91.0,278,11,3.96,4.00 (3.30-4.70),267,96.04,4.38 (4.10-4.66),46.85,5.08
oligodendrocytes 3,303.0,0.24,84.0,154,11,7.14,3.63 (3.10-4.16),143,92.86,3.62 (3.28-3.96),56.11,8.43
oligodendrocytes 2,526.0,0.365,78.0,213,18,8.45,3.91 (3.32-4.51),195,91.55,3.98 (3.69-4.28),26.90,6.19
