tipo_celular,module_size,CNKSR3_MM,CNKSR3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.156,42.0,127,28,22.05,3.48 (2.83-4.13),99,77.95,3.99 (3.60-4.38),3.60,6.47
GABA neurons expressing GLU receptors 22,823.0,0.153,33.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24),1.82,3.66
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.264,81.0,141,5,3.55,1.74 (0.58-2.91),136,96.45,3.01 (2.77-3.25),4.89,6.89
oligodendrocytes 20,403.0,0.069,31.0,18,2,11.11,0.88 (0.76-1.00),16,88.89,2.00 (1.26-2.74),3.27,3.86
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.071,40.0,276,20,7.25,2.08 (1.62-2.55),256,92.75,3.69 (3.47-3.92),9.39,4.78
oligodendrocytes 10,1277.0,0.154,74.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,105.0,0.159,18.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.122,19.0,300,13,4.33,3.59 (3.04-4.13),287,95.67,3.80 (3.59-4.02),4.45,4.14
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,187.0,0.123,63.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,348.0,0.191,47.0,114,2,1.75,3.70 (NA-NA),112,98.25,5.13 (4.72-5.55),1.85,4.44
