tipo_celular,module_size,VPS9D1_MM,VPS9D1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.061,2.0,140,16,11.43,3.88 (3.73-4.02),124,88.57,4.64 (4.13-5.14),3.30,3.61
T cells 18,282.0,0.219,72.0,241,19,7.88,3.91 (3.83-3.99),222,92.12,4.07 (3.79-4.36),6.50,4.15
astrocytes 5,1656.0,0.092,16.0,136,2,1.47,1.73 (0.92-2.54),134,98.53,3.23 (2.96-3.51),8.76,4.93
oligodendrocyte progenitor cells 7,4285.0,0.101,10.0,353,20,5.67,1.55 (0.78-2.31),333,94.33,4.05 (3.87-4.22),30.17,6.74
GABA neurons expressing GLU receptors 22,714.0,0.177,48.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,300.0,0.242,87.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,215.0,0.268,72.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.282,90.0,18,7,38.89,0.65 (0.47-0.83),11,61.11,2.66 (1.84-3.47),5.81,2.51
GABA like neurons 14,2090.0,0.238,92.0,74,2,2.7,1.79 (1.09-2.49),72,97.3,2.98 (2.59-3.36),2.97,10.71
astrocytes 8,1266.0,0.069,36.0,66,10,15.15,2.04 (0.76-3.32),56,84.85,3.48 (3.08-3.88),4.31,2.71
oligodendrocyte progenitor cells 12,708.0,0.121,56.0,32,7,21.88,0.94 (-0.08-1.95),25,78.12,3.87 (3.06-4.69),3.86,2.24
oligodendrocytes 10,2107.0,0.037,2.0,358,22,6.15,1.66 (0.91-2.41),336,93.85,4.02 (3.84-4.21),27.16,8.31
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.136,46.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,74.0,0.225,74.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,62.0,0.267,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.132,27.0,104,9,8.65,1.10 (0.67-1.53),95,91.35,3.04 (2.76-3.32),12.97,4.68
oligodendrocytes 0,2078.0,0.071,2.0,238,2,0.84,0.82 (-0.38-2.02),236,99.16,3.66 (3.45-3.88),17.71,4.91
microglia 1,813.0,0.106,37.0,79,2,2.53,3.18 (3.18-3.18),77,97.47,3.10 (2.68-3.51),1.34,8.07
oligodendrocytes 3,242.0,0.05,4.0,6,2,33.33,5.16 (5.16-5.16),4,66.67,6.40 (5.12-7.67),2.30,1.91
oligodendrocytes 2,1630.0,0.127,22.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
