tipo_celular,module_size,NDUFS5_MM,NDUFS5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.142,32.0,225,38,16.89,3.42 (3.03-3.81),187,83.11,3.67 (3.36-3.97),3.57,8.78
astrocytes 5,328.0,0.148,41.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,448.0,0.296,90.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,487.0,0.365,87.0,73,2,2.74,2.27 (0.40-4.14),71,97.26,2.77 (2.38-3.16),2.04,7.48
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.286,78.0,410,78,19.02,3.80 (3.54-4.07),332,80.98,4.39 (4.16-4.62),15.61,5.61
GABA neurons expressing GABA receptors 13,417.0,0.259,93.0,213,88,41.31,3.37 (3.04-3.70),125,58.69,4.16 (3.81-4.51),14.12,6.56
endothelial cells 9,916.0,0.429,88.0,302,67,22.19,3.89 (3.57-4.21),235,77.81,4.02 (3.73-4.31),18.33,8.46
oligodendrocytes 20,322.0,0.164,67.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402.0,0.663,98.0,455,80,17.58,3.51 (3.16-3.85),375,82.42,4.59 (4.38-4.80),17.61,6.96
astrocytes 8,603.0,0.2,90.0,89,6,6.74,1.89 (1.05-2.74),83,93.26,2.85 (2.48-3.22),4.22,6.17
oligodendrocyte progenitor cells 12,1049.0,0.352,94.0,235,52,22.13,4.00 (3.71-4.29),183,77.87,3.76 (3.47-4.06),6.53,7.92
oligodendrocytes 10,735.0,0.238,94.0,277,20,7.22,3.97 (3.88-4.06),257,92.78,3.89 (3.62-4.15),4.51,9.29
connective tissue cells 21,301.0,0.427,63.0,158,1,0.63,0.55 (NA-NA),157,99.37,4.29 (3.92-4.65),5.13,7.08
astrocytes 15,268.0,0.083,49.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,96.0,0.172,18.0,102,43,42.16,3.40 (3.01-3.79),59,57.84,3.28 (2.74-3.83),2.99,11.07
da neurons 6,729.0,0.24,85.0,182,24,13.19,4.24 (3.54-4.95),158,86.81,3.53 (3.27-3.80),13.50,7.76
astrocytes microglia 23,116.0,0.302,35.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,208.0,0.195,49.0,173,2,1.16,3.39 (3.07-3.71),171,98.84,3.80 (3.50-4.11),2.59,5.66
oligodendrocytes 0,546.0,0.194,64.0,252,70,27.78,3.33 (2.96-3.69),182,72.22,4.50 (4.19-4.81),7.89,8.34
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.161,60.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.269,52.0,213,60,28.17,4.10 (3.84-4.37),153,71.83,3.92 (3.53-4.31),8.93,7.55
