tipo_celular,module_size,CSE1L_MM,CSE1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.243,72.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,610.0,0.133,35.0,98,22,22.45,2.12 (1.56-2.68),76,77.55,3.45 (3.11-3.79),8.69,2.69
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,39,11.05,2.73 (2.22-3.24),314,88.95,4.07 (3.87-4.26),24.59,6.01
GABA neurons expressing GLU receptors 22,487.0,0.187,39.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1316.0,0.071,8.0,101,2,1.98,3.15 (1.13-5.18),99,98.02,3.05 (2.69-3.41),2.20,3.07
da like neurons 11,1220.0,0.1,16.0,410,21,5.12,3.22 (2.67-3.76),389,94.88,4.31 (4.12-4.50),18.19,6.94
GABA neurons expressing GABA receptors 13,357.0,0.146,40.0,237,8,3.38,4.28 (3.78-4.77),229,96.62,4.41 (4.17-4.66),5.52,4.14
endothelial cells 9,338.0,0.065,9.0,191,1,0.52,2.06 (NA-NA),190,99.48,3.90 (3.67-4.12),9.76,9.15
oligodendrocytes 20,358.0,0.244,82.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052.0,0.123,36.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66),1.96,8.72
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.071,40.0,276,28,10.14,3.06 (2.59-3.53),248,89.86,3.61 (3.37-3.84),12.70,4.25
oligodendrocytes 10,735.0,0.107,57.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,84.0,0.143,5.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,122.0,0.235,73.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,300.0,0.174,56.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,126.0,0.36,71.0,1,1,100.0,5.16 (NA-NA),0,0.0,NA,1.67,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.132,85.0,238,11,4.62,3.61 (2.52-4.70),227,95.38,3.64 (3.41-3.86),7.45,4.90
microglia 1,958.0,0.09,18.0,290,19,6.55,3.90 (3.41-4.39),271,93.45,3.81 (3.56-4.05),6.42,4.90
oligodendrocytes 3,743.0,0.07,33.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921.0,0.141,56.0,200,18,9.0,3.92 (3.40-4.44),182,91.0,3.59 (3.30-3.88),4.76,3.34
