tipo_celular,module_size,DLST_MM,DLST_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.128,23.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,624.0,0.21,86.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.094,19.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.141,60.0,353,27,7.65,1.72 (1.29-2.16),326,92.35,4.13 (3.95-4.31),36.70,5.69
GABA neurons expressing GLU receptors 22,400.0,0.225,66.0,24,9,37.5,1.02 (0.34-1.71),15,62.5,2.84 (2.41-3.26),5.73,2.29
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,140.0,0.068,1.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.099,47.0,275,20,7.27,1.47 (1.01-1.94),255,92.73,4.24 (3.99-4.50),15.03,5.17
oligodendrocytes 20,330.0,0.249,76.0,36,4,11.11,2.15 (1.86-2.43),32,88.89,1.89 (1.50-2.28),5.56,2.82
GABA like neurons 14,3052.0,0.189,88.0,125,2,1.6,3.56 (3.56-3.56),123,98.4,3.35 (3.02-3.68),4.11,8.69
astrocytes 8,577.0,0.055,22.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72),4.43,4.47
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,19,6.88,2.16 (1.69-2.63),257,93.12,3.68 (3.45-3.90),18.24,4.14
oligodendrocytes 10,2107.0,0.033,2.0,358,25,6.98,1.66 (1.21-2.12),333,93.02,4.09 (3.90-4.27),41.35,7.08
connective tissue cells 21,104.0,0.291,53.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.228,90.0,14,5,35.71,1.37 (0.15-2.58),9,64.29,2.90 (0.82-4.99),2.59,2.37
oligodendrocytes 16,158.0,0.313,93.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,92.0,0.363,73.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91),NA,1.89
astrocytes 4,1807.0,0.161,80.0,104,18,17.31,1.78 (1.31-2.25),86,82.69,3.11 (2.81-3.42),14.58,3.48
oligodendrocytes 0,2078.0,0.096,16.0,238,7,2.94,2.39 (1.52-3.27),231,97.06,3.68 (3.46-3.91),9.89,4.87
microglia 1,1615.0,0.123,68.0,161,26,16.15,1.67 (1.24-2.11),135,83.85,3.67 (3.40-3.94),15.14,3.56
oligodendrocytes 3,743.0,0.074,39.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.154,76.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52),5.25,3.57
