tipo_celular,module_size,KBTBD6_MM,KBTBD6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,38,10.76,2.56 (2.04-3.08),315,89.24,4.10 (3.91-4.29),25.18,6.00
GABA neurons expressing GLU receptors 22,848.0,0.35,85.0,262,17,6.49,3.24 (2.50-3.97),245,93.51,4.25 (3.99-4.51),4.58,4.07
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.201,57.0,410,18,4.39,3.22 (2.66-3.77),392,95.61,4.31 (4.12-4.51),8.86,7.45
GABA neurons expressing GABA receptors 13,86.0,0.21,82.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.051,18.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402.0,0.233,51.0,455,29,6.37,2.44 (1.83-3.04),426,93.63,4.53 (4.34-4.71),20.04,8.07
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.104,78.0,276,32,11.59,2.90 (2.39-3.41),244,88.41,3.65 (3.42-3.89),11.07,4.33
oligodendrocytes 10,806.0,0.207,64.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.242,67.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.158,75.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.098,19.0,238,12,5.04,3.70 (2.86-4.55),226,94.96,3.63 (3.40-3.86),6.98,4.92
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.075,25.0,345,12,3.48,4.09 (3.73-4.45),333,96.52,4.28 (4.06-4.50),4.59,5.73
oligodendrocytes 2,528.0,0.159,23.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
