tipo_celular,module_size,PARP4_MM,PARP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.239,67.0,18,1,5.56,4.08 (NA-NA),17,94.44,1.92 (1.48-2.35),1.56,3.37
T cells 18,624.0,0.176,70.0,142,3,2.11,3.71 (2.37-5.05),139,97.89,3.20 (2.93-3.47),2.10,4.34
astrocytes 5,1656.0,0.109,40.0,136,4,2.94,1.80 (1.29-2.31),132,97.06,3.26 (2.98-3.53),5.01,4.99
oligodendrocyte progenitor cells 7,4285.0,0.154,77.0,353,39,11.05,1.89 (1.53-2.25),314,88.95,4.21 (4.04-4.39),28.81,5.49
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.157,31.0,120,8,6.67,2.96 (2.33-3.58),112,93.33,4.74 (4.42-5.07),3.87,3.64
oligodendrocytes 20,228.0,0.176,41.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA),2.65,1.72
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,218.0,0.14,65.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,28,10.14,2.14 (1.77-2.51),248,89.86,3.76 (3.53-3.99),14.64,4.03
oligodendrocytes 10,2107.0,0.318,91.0,358,39,10.89,1.83 (1.50-2.16),319,89.11,4.20 (4.02-4.39),31.67,6.76
connective tissue cells 21,106.0,0.258,30.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,1768.0,0.073,36.0,105,19,18.1,1.75 (1.35-2.16),86,81.9,3.57 (3.20-3.93),7.72,3.15
oligodendrocytes 16,71.0,0.148,25.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.187,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.149,45.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.136,90.0,238,10,4.2,2.53 (1.93-3.13),228,95.8,3.69 (3.47-3.92),8.31,4.88
microglia 1,1615.0,0.145,87.0,161,34,21.12,1.81 (1.43-2.19),127,78.88,3.76 (3.48-4.04),12.96,3.42
oligodendrocytes 3,854.0,0.098,59.0,76,5,6.58,1.82 (0.74-2.91),71,93.42,2.85 (2.51-3.19),3.67,4.79
oligodendrocytes 2,921.0,0.136,46.0,200,5,2.5,2.62 (2.24-2.99),195,97.5,3.65 (3.38-3.93),3.74,3.46
