tipo_celular,module_size,LSM6_MM,LSM6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.132,77.0,136,10,7.35,2.16 (1.56-2.75),126,92.65,3.30 (3.02-3.59),6.12,4.90
oligodendrocyte progenitor cells 7,4285.0,0.106,14.0,353,66,18.7,2.43 (2.07-2.79),287,81.3,4.34 (4.16-4.52),19.91,5.34
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.269,60.0,455,51,11.21,2.78 (2.23-3.34),404,88.79,4.59 (4.41-4.77),14.79,8.08
astrocytes 8,727.0,0.158,76.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,1049.0,0.119,64.0,235,15,6.38,4.43 (3.55-5.32),220,93.62,3.78 (3.54-4.02),6.88,7.66
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.055,18.0,105,33,31.43,2.29 (1.84-2.73),72,68.57,3.67 (3.26-4.08),5.95,3.07
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,76.0,0.332,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.159,76.0,104,30,28.85,1.83 (1.50-2.17),74,71.15,3.33 (3.01-3.65),10.11,3.49
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
