tipo_celular,module_size,APOC1_MM,APOC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.258,79.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79),2.04,5.05
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.152,44.0,128,5,3.91,5.18 (3.79-6.56),123,96.09,3.53 (3.19-3.88),2.20,6.95
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.134,78.0,89,7,7.87,1.66 (0.40-2.91),82,92.13,2.83 (2.47-3.19),3.94,6.22
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.057,23.0,96,5,5.21,2.76 (2.05-3.48),91,94.79,3.67 (3.20-4.14),2.71,3.86
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.379,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,208.0,0.14,19.0,173,4,2.31,4.46 (3.21-5.72),169,97.69,3.77 (3.47-4.08),2.34,5.70
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,406.0,0.502,89.0,278,3,1.08,5.38 (3.60-7.15),275,98.92,4.35 (4.07-4.62),2.02,6.79
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
