tipo_celular,module_size,DCP1B_MM,DCP1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.119,21.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,624.0,0.104,16.0,142,5,3.52,5.60 (5.51-5.70),137,96.48,3.11 (2.85-3.37),2.05,4.38
astrocytes 5,1656.0,0.082,7.0,136,6,4.41,2.01 (0.80-3.23),130,95.59,3.27 (3.00-3.55),7.12,4.89
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,62,17.56,2.86 (2.39-3.32),291,82.44,4.18 (3.99-4.36),15.57,6.47
GABA neurons expressing GLU receptors 22,487.0,0.111,11.0,73,6,8.22,1.48 (1.40-1.56),67,91.78,2.89 (2.48-3.30),2.61,7.75
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,265.0,0.182,48.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.096,35.0,169,4,2.37,1.35 (-0.02-2.73),165,97.63,3.54 (3.33-3.76),3.88,5.40
GABA like neurons 14,3052.0,0.12,34.0,125,1,0.8,5.57 (NA-NA),124,99.2,3.33 (3.01-3.65),1.53,8.67
astrocytes 8,260.0,0.193,82.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.084,58.0,276,42,15.22,2.39 (1.97-2.81),234,84.78,3.81 (3.58-4.05),6.41,4.88
oligodendrocytes 10,2107.0,0.108,33.0,358,70,19.55,2.81 (2.38-3.25),288,80.45,4.21 (4.03-4.40),18.15,7.36
connective tissue cells 21,78.0,0.322,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.061,27.0,96,7,7.29,2.37 (1.59-3.15),89,92.71,3.73 (3.25-4.21),3.54,3.82
oligodendrocytes 16,151.0,0.238,78.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.306,38.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
astrocytes 4,787.0,0.153,54.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36),1.43,5.81
oligodendrocytes 0,2078.0,0.107,36.0,238,23,9.66,4.21 (3.52-4.89),215,90.34,3.56 (3.33-3.79),3.89,5.14
microglia 1,1615.0,0.095,27.0,161,40,24.84,1.95 (1.59-2.31),121,75.16,3.85 (3.56-4.13),8.03,4.57
oligodendrocytes 3,854.0,0.103,65.0,76,4,5.26,1.99 (-0.03-4.00),72,94.74,2.83 (2.50-3.16),2.79,4.83
oligodendrocytes 2,1630.0,0.126,21.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
