tipo_celular,module_size,CFAP44_MM,CFAP44_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.103,20.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,499.0,0.298,97.0,32,11,34.38,5.07 (4.15-5.99),21,65.62,5.01 (4.41-5.61),4.07,3.65
oligodendrocyte progenitor cells 7,4285.0,0.138,55.0,353,11,3.12,2.15 (1.51-2.80),342,96.88,3.96 (3.77-4.15),12.07,7.93
GABA neurons expressing GLU receptors 22,1069.0,0.203,76.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316.0,0.058,4.0,101,2,1.98,2.69 (2.37-3.01),99,98.02,3.06 (2.70-3.42),2.52,3.06
da like neurons 11,289.0,0.122,22.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.184,85.0,125,3,2.4,4.27 (3.72-4.82),122,97.6,3.32 (2.99-3.65),1.82,8.78
astrocytes 8,354.0,0.114,46.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.13,94.0,276,7,2.54,2.54 (1.76-3.32),269,97.46,3.58 (3.35-3.80),9.15,5.01
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,86.0,0.289,59.0,7,2,28.57,4.47 (3.98-4.97),5,71.43,2.70 (2.17-3.23),1.52,1.47
astrocytes 15,377.0,0.201,80.0,14,2,14.29,4.66 (3.70-5.61),12,85.71,1.51 (0.34-2.67),2.88,2.38
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.309,40.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
astrocytes 4,787.0,0.149,46.0,65,5,7.69,4.26 (3.54-4.98),60,92.31,2.82 (2.41-3.23),2.71,6.00
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
