tipo_celular,module_size,LGI4_MM,LGI4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.095,12.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.162,67.0,169,3,1.78,2.81 (0.25-5.37),166,98.22,3.50 (3.28-3.71),4.62,5.38
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.139,79.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.068,22.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.065,29.0,105,1,0.95,0.21 (NA-NA),104,99.05,3.24 (2.91-3.58),7.58,3.94
oligodendrocytes 16,105.0,0.294,86.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.256,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,208.0,0.158,29.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10),NA,5.62
oligodendrocytes 0,546.0,0.064,1.0,252,5,1.98,4.11 (3.81-4.41),247,98.02,4.09 (3.84-4.34),11.62,8.14
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.064,10.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,526.0,0.204,30.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
