tipo_celular,module_size,SLU7_MM,SLU7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,703.0,0.161,34.0,23,3,13.04,1.84 (1.08-2.60),20,86.96,2.13 (1.31-2.95),2.39,4.16
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.075,6.0,410,20,4.88,2.97 (2.47-3.47),390,95.12,4.34 (4.15-4.53),11.00,7.34
GABA neurons expressing GABA receptors 13,200.0,0.143,43.0,34,2,5.88,3.65 (NA-NA),32,94.12,3.90 (2.98-4.81),2.04,3.58
endothelial cells 9,559.0,0.081,13.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,330.0,0.144,37.0,36,12,33.33,1.88 (1.55-2.22),24,66.67,1.94 (1.45-2.43),3.20,3.09
GABA like neurons 14,2402.0,0.228,50.0,455,53,11.65,2.52 (2.18-2.87),402,88.35,4.69 (4.50-4.87),17.46,7.70
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.127,67.0,277,2,0.72,NA,275,99.28,3.89 (3.65-4.14),1.37,9.00
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,158.0,0.293,90.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,553.0,0.121,45.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,96.0,0.509,100.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.091,11.0,238,11,4.62,2.97 (2.05-3.88),227,95.38,3.67 (3.45-3.90),10.81,4.74
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.076,25.0,345,23,6.67,2.89 (2.55-3.24),322,93.33,4.42 (4.20-4.63),7.91,5.53
oligodendrocytes 2,1630.0,0.152,71.0,154,2,1.3,4.67 (3.69-5.64),152,98.7,3.22 (2.96-3.49),3.26,3.60
